"ID","asset_PM_ID","asset_SiteID","asset_Name","asset_SerialNumber","asset_PartNumber","asset_PurchasingProject","asset_AcquiredDate","asset_CEHAssetNumber","asset_PurchaseOrderNumber","asset_PurchaseOrderDate","asset_POAttachments","asset_PurchasePrice","asset_ProjectManager","asset_RetiredDate","asset_CurrentCondition","asset_Obsolete","asset_Contract_Required","asset_Instrument_Type","asset_ContractorID","asset_Contractor","asset_Site","asset_Description","asset_Quantity","asset_Type","asset_Country_of_Origin","asset_Manufacturer","asset_Supplier","asset_Model","asset_Version","asset_Firmware","asset_Software","asset_Calibration_Interval","asset_Calibration_Requirements","asset_Manufacture_Date","asset_Height","asset_Depth","asset_Canopy_Height","asset_Test","asset_Alias","asset_Keywords","asset_Servicing_Requirement","asset_Comments","asset_Specialist_training_or_other_requirements","asset_Status","asset_Other_ID"
1,,32,"LI-COR LI-710","ET1-00298",,"FDRI",09/05/2024 00:00:00,,,,,,"Simon Teagle",,,,0,"Drone",,,"xx_UKCEH_Wallingford",,1,"Fixed",,,,,,,,,,,,,,,,,,,,,
2,,32,"DJI Matrice 350 RTK_Drone","1581F6GKB239L00400KX",,"09191",14/08/2024 00:00:00,"FDRI-M-DRO-0824-001","18918",,,9110.76,"Simon Teagle",,,,0,"UAV",,,"xx_UKCEH_Wallingford",,1,"Mobile",,"DJI Enterprise",,"Matrice 350 RTK",,,,,,,,,,,,,,,,,
3,,32,"DJI Matrice 350 RTK RC_RM700B","4LFCL9F006L33M",,"09191",14/08/2024 00:00:00,"FDRI-M-DRO-0824-002","18918",,,968.00,"Simon Teagle",,,,0,"Drone",,,"xx_UKCEH_Wallingford",,1,"Fixed",,"DJI Enterprise",,"Matrice 350 RTK",,,,,,,,,,,,,,,,,
4,,32,"Intelligent Flight Battery TB65","6JYPLBLDA00245",,"09191",14/08/2024 00:00:00,"FDRI-M-DRO-0824-003","18918",,,562.40,"Simon Teagle",,,,0,"Drone",,,"xx_UKCEH_Wallingford",,1,"Fixed",,"DJI Enterprise",,"Intelligent Flight Battery TB65",,,,,,,,,,,,,,,,,
5,,32,"Intelligent Flight Battery TB65","6JYPLBEDA002EG",,"FDRI",14/08/2024 00:00:00,"FDRI-M-DRO-0824-004","18918",,,562.40,"Simon Teagle",,,,0,"Drone",,,"xx_UKCEH_Wallingford",,1,"Fixed",,"DJI Enterprise",,"Intelligent Flight Battery TB65",,,,,,,,,,,,,,,,,
6,,32,"Intelligent Flight Battery TB65","6JYPLBEDA002EF",,"FDRI",14/08/2024 00:00:00,"FDRI-M-DRO-0824-005","18918",,,562.40,"Simon Teagle",,,,0,"Drone",,,"xx_UKCEH_Wallingford",,1,"Fixed",,"DJI Enterprise",,"Intelligent Flight Battery TB65",,,,,,,,,,,,,,,,,
7,,32,"Intelligent Flight Battery TB65","6JYPLBEDA002BZ",,"FDRI",14/08/2024 00:00:00,"FDRI-M-DRO-0824-006","18918",,,562.40,"Simon Teagle",,,,0,"Drone",,,"xx_UKCEH_Wallingford",,1,"Fixed",,"DJI Enterprise",,"Intelligent Flight Battery TB65",,,,,,,,,,,,,,,,,
8,,32,"Intelligent Flight Battery TB65","6JYPLBEDA002DH",,"FDRI",14/08/2024 00:00:00,"FDRI-M-DRO-0824-007","18918",,,562.40,"Simon Teagle",,,,0,"Drone",,,"xx_UKCEH_Wallingford",,1,"Fixed",,"DJI Enterprise",,"Intelligent Flight Battery TB65",,,,,,,,,,,,,,,,,
9,,32,"Intelligent Flight Battery TB65","6JYPLBEDA002CA",,"FDRI",14/08/2024 00:00:00,"FDRI-M-DRO-0824-008","18918",,,562.40,"Simon Teagle",,,,0,"Drone",,,"xx_UKCEH_Wallingford",,1,"Fixed",,"DJI Enterprise",,"Intelligent Flight Battery TB65",,,,,,,,,,,,,,,,,
10,,32,"Intelligent Flight Battery TB65","6JYPLBEDA002DK",,"FDRI",14/08/2024 00:00:00,"FDRI-M-DRO-0824-009","18918",,,562.40,"Simon Teagle",,,,0,"Drone",,,"xx_UKCEH_Wallingford",,1,"Fixed",,"DJI Enterprise",,"Intelligent Flight Battery TB65",,,,,,,,,,,,,,,,,
11,,32,"Intelligent Flight Battery TB65","6JYPLBEDA002EN",,"FDRI",14/08/2024 00:00:00,"FDRI-M-DRO-0824-010","18918",,,562.40,"Simon Teagle",,,,0,"Drone",,,"xx_UKCEH_Wallingford",,1,"Fixed",,"DJI Enterprise",,"Intelligent Flight Battery TB65",,,,,,,,,,,,,,,,,
