"ID","locHistory_Catchment","locHistory_LocationName","locHistory_SiteCode","locHistory_GridReference","locHistory_Date","locHistory_AssetID","locHistory_MovementType","locHistory_Date_End","locHistory_Sensor_Height","locHistory_Canopy_Height_At_Install","locHistory_Sensor_Depth","locHistory_Instrument_In_Use","locHistory_Notes","locHistory_DistFromInlet","locHistory_Datum","locHistory_DistFromDatum","locHistory_Sensor firmware","locHistory_Vertical offset","locHistory_North offset","locHistory_East offset","locHistory_Azimuth","locHistory_CPEC_Pump_Flow_Rate"
8,"Wallingford","Prototype Site",,,27/02/2025 00:00:00,112,,,,,,,,,,,,,,,,
9,"Wallingford","Office (moving to metsite soon)",,,27/02/2025 00:00:00,111,,,,,,,,,,,,,,,,
10,"Wallingford","Office - PiCamera","xx-UKCEH_Wallingford",,25/02/2025 00:00:00,108,,,,,,,,,,,,,,,,
12,,"Wallingford labs",,,13/03/2025 00:00:00,145,,,,,,,,,,,,,,,,
13,,"CSL Shepshed",,,21/03/2025 00:00:00,95,,,,,,,,,,,,,,,,
14,,"Wallingford_WP2",,,01/05/2025 00:00:00,159,,,,,,,,,,,,,,,,
16,,"3",,,05/05/2025 00:00:00,222,,,,,,,,,,,,,,,,
17,,"4",,,06/05/2025 00:00:00,222,,,,,,,,,,,,,,,,
25,,"Lancaster","Lancaster",,12/05/2025 15:00:00,226,"Deploy",14/05/2025 12:00:00,,,,,"Installation at Lancaster",,,,,,,,,
27,"Chess","Wallingford","Wallingford",,14/05/2025 12:00:00,226,"Relocate",,180.00,20.00,,"Yes",,,,,,,,,,
29,,,"Wallingford",,03/03/2025 00:00:00,228,,,,,,,,,,,,,,,,
30,"Severn",,"SE_SVTRP-01-WL",,21/05/2025 00:00:00,134,"Deploy",,,,422.70,"Yes","Sensor depth installed 422.7cm below datum reference point.
Datum point = 422.24cm above bottom of stilling well inlet pipe",0.46,422.00,,,,,,,
31,"Severn",,"SE-SVTRP-01-WL",,21/05/2025 00:00:00,230,"Deploy",,,,24.00,,"Sensor height installed 24cm below datum reference point.
Datum point = 422.24cm above bottom of stilling well inlet pipe",398.24,422.24,,,,,,,
32,,,"Wallingford",,,232,,,,,,,,,,,,,,,,
33,,,"Severn",,,71,"Deploy",,,,,,,,,,,,,,,
34,"Severn",,"SE-CARWE-01-WS",,26/06/2025 00:00:00,165,"Deploy",,,20.00,,"Yes",,,,,,,,,,
35,"Severn",,"SE-SVTRP-01-WL",,21/05/2025 00:00:00,143,"Deploy",,,,,"Yes",,,,,,,,,,
36,"Severn",,"Severn Trap",,21/05/2025 00:00:00,109,"Deploy",,,,,"Yes",,,,,,,,,,
37,"Severn",,"SE-SVTRP-01-WL",,21/05/2025 00:00:00,773,"Deploy",,,,,"Yes",,,,,,,,,,
38,"Severn",,"Severn TrapSE-SVTRP-01-WL",,21/05/2025 00:00:00,774,"Deploy",,,,,,,,,,,,,,,
39,"Severn",,"SE-HAFRF-07-TF",,21/05/2025 00:00:00,775,"Deploy",,,,,,,,,,,,,,,
40,,"Wallingford","Wallingford",,16/06/2025 00:00:00,776,,,,,,,,,,,,,,,,
41,,,"Wallingford",,16/06/2025 00:00:00,777,,,,,,,,,,,,,,,,
42,"Severn",,"SE-CARWE-01-WS",,26/06/2025 00:00:00,188,"Deploy",,230.00,20.00,,"Yes",,,,,,,,,,
43,"Severn",,"SE-CARWE-01-WS",,26/06/2025 00:00:00,791,"Deploy",,0.00,,,"Yes",,,,,,,,,,
44,"Severn",,"SE-CARWE-01-WS",,26/06/2025 00:00:00,792,"Deploy",,200.00,20.00,,"Yes",,,,,,,,,,
45,"Severn",,,,26/06/2025 00:00:00,197,"Deploy",,,20.00,,"Yes",,,,,,,,,,
