"ID","assetMod_AssetID","assetMod_Asset","assetMod_Site","assetMod_SiteCode","assetMod_GridReference","assetMod_Date","assetMod_Notes","assetMod_Reason","assetMod_ModType","assetMod_Variable","assetMod_Variable_Coefficient","assetMod_Coefficient_Description","assetMod_Next_due_date","assetMod_Date_End"
1,1,,"Wallingford",,,12/05/2025 00:00:00,,,"Calibration",,,,,
5,226,,"Wallingford",,,12/05/2025 00:00:00,,"Calibration prior to install","Calibration","SWIN","2.2",,12/05/2030 00:00:00,
6,226,,"Wallingford",,,12/05/2025 00:00:00,,"Clean prior to install","Maintenance",,,,,
7,226,,"Lancaster",,,12/05/2025 00:00:00,,"Clean post-install","Maintenance",,,,,
8,61,,"Bangor",,,17/05/2025 00:00:00,,,"Calibration",,,,,
9,71,,,,,,,,,,,,,
10,73,,,,,,,,,,,,,
13,134,,"Hafren Forest - Severn Trap",,,08/07/2025 00:00:00,,,"Calibration",,,,19/12/2026 00:00:00,
14,161,,"Blackwell Hall Lane Little Chess",,,27/01/2026 00:00:00,,,,,,,,
15,1,,"Blackwell Hall Lane Little Chess",,,11/02/2026 00:00:00,,,,,,,,
16,226,,"Blackwell Hall Lane Little Chess",,,11/02/2026 00:00:00,,,"Maintenance",,,,,
17,226,,"xx-UKCEH_Wallingford",,,11/02/2026 09:00:00,,,"Calibration",,,,11/02/2030 09:00:00,
18,143,,"Hafren Forest - Severn Trap",,,19/12/2024 00:00:00,,,"Calibration",,,,18/12/2027 00:00:00,
19,165,,"Carreg Wen",,,19/12/2024 00:00:00,,,"Calibration",,,,18/12/2027 00:00:00,
20,1582,,"xx-UKCEH_Wallingford",,,24/02/2026 00:00:00,"I cleaned it and calibrated it on deployment",,"Calibration",,,,19/06/2026 00:00:00,
21,724,,,,,,,,,,,,,
