"ID","locHistory_Catchment","locHistory_LocationName","locHistory_SiteCode","locHistory_GridReference","locHistory_Date","locHistory_AssetID","locHistory_MovementType","locHistory_Date_End","locHistory_Sensor_Height","locHistory_Canopy_Height_At_Install","locHistory_Sensor_Depth","locHistory_Instrument_In_Use","locHistory_Notes","locHistory_DistFromInlet","locHistory_Datum","locHistory_DistFromDatum","locHistory_Sensor.firmware","locHistory_Vertical.offset","locHistory_North.offset","locHistory_East.offset","locHistory_Azimuth","locHistory_CPEC_Pump_Flow_Rate"
75,"Wallingford","xx-UKCEH_Wallingford","xx-UKCEH_Wallingford",NA,"10/02/2026 00:00:00",1543,"Test","",300,10,0,"Yes","",0,0,0,NA,0.6,8.34,12.87,"225",NA
76,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1544,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
77,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1546,"","",300,10,0,"Yes","",0,0,0,NA,-15,8,12,"225 degrees",NA
78,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1547,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
79,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",741,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
80,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1548,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
81,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",649,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
82,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1549,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
83,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",632,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
85,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",644,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
86,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",627,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
87,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",592,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
88,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1483,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
89,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1484,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
90,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1486,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
91,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1487,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
92,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1488,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
93,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",727,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
95,"","xx-UKCEH_Wallingford","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",723,"","",200,10,0,"Yes","",0,0,0,NA,NA,NA,NA,"",NA
98,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",678,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
99,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",674,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
100,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",683,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
101,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",665,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
102,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",757,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
103,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",758,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
104,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",759,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
105,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",760,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
106,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1550,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
107,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1551,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
108,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",746,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
109,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",707,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
110,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1530,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
111,"","","xx-UKCEH_Wallingford",NA,"09/02/2026 00:00:00",1552,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
