"ID","asset_PM_ID","asset_SiteID","asset_Name","asset_SerialNumber","asset_PartNumber","asset_PurchasingProject","asset_AcquiredDate","asset_CEHAssetNumber","asset_PurchaseOrderNumber","asset_PurchaseOrderDate","asset_POAttachments","asset_PurchasePrice","asset_ProjectManager","asset_RetiredDate","asset_CurrentCondition","asset_Obsolete","asset_Contract_Required","asset_Instrument_Type","asset_ContractorID","asset_Contractor","asset_Site","asset_Description","asset_Quantity","asset_Type","asset_Country_of_Origin","asset_Manufacturer","asset_Supplier","asset_Model","asset_Version","asset_Firmware","asset_Software","asset_Calibration_Interval","asset_Calibration_Requirements","asset_Manufacture_Date","asset_Height","asset_Depth","asset_Canopy_Height","asset_Test","asset_Alias","asset_Keywords","asset_Servicing_Requirement","asset_Comments","asset_Specialist_training_or_other_requirements","asset_Status","asset_Other_ID"
592,NA,13,"AM16/32B 16/32 CHANNEL RELAY MULTIPLEXER C/W PLUGGABLE CONNECTORS","43554","","09191","19/05/2025 00:00:00","","20924-4","04/02/2025 00:00:00",NA,659.6,"Simon Teagle","","Excellent","",0,"",NA,NA,"Mill Farm, Chenies","",1,"Fixed","USA","Campbell Scientific","","","","","","","","","",NA,"",NA,"","","","","","In test",NA
627,NA,13,"CPEC200/310 ZERO SCRUB MODULE","1209","RJ1412HPL","09191","19/05/2025 00:00:00","","20924-3","04/02/2025 00:00:00",NA,2193.43,"Simon Teagle","","Excellent","",0,"",NA,NA,"Mill Farm, Chenies","",1,"Fixed","USA","STAHLIN_Robroy Enclosures","","","","","","","","18/12/2024 00:00:00","",NA,"",NA,"","","","","","In test",NA
632,NA,13,"CPEC310 Three Valve Module","1464","","09191","19/05/2025 00:00:00","","20924-2","04/02/2025 00:00:00",NA,NA,"Simon Teagle","","Excellent","",0,"Gas analyser (CPEC)",NA,NA,"Mill Farm, Chenies","",1,"Fixed","USA","Campbell scientific","","","","","","","","","",NA,"",NA,"","","","","","In test",NA
644,NA,13,"CR1000Xe","71327","41842","09191","19/05/2025 00:00:00","","20924-2","04/02/2025 00:00:00",NA,1668.55,"Simon Teagle","","Excellent","",0,"Logger",NA,NA,"Mill Farm, Chenies","Item-011610
UID-NR6X-KEFT-A2DS",1,"Fixed","","Campbell Scientific","","","","","","","","","",NA,"",NA,"","","","","","In test",NA
649,NA,13,"CR6 Datalogger","25623","","09191","19/05/2025 00:00:00","","20924-2","04/02/2025 00:00:00",NA,NA,"Simon Teagle","","Excellent","",0,"",NA,NA,"Mill Farm, Chenies","",1,"Fixed","USA","Campbell Scientific","","CR6","","","","","","","",NA,"",NA,"","","","","","In test",NA
665,NA,13,"CS655-DS 12CM WATER CONTENT REFLECTOMETER PLUS C/W 10 METRE CABLE","68554","CS655-33-DS-PT","09191","19/05/2025 00:00:00","","20924-4","04/02/2025 00:00:00",NA,228.65,"Simon Teagle","","Excellent","",0,"Soil T VWC",NA,NA,"Mill Farm, Chenies","",1,"Fixed","","Campbell","","CS655-33-DS-PT","","","","","","","",NA,"",NA,"","","","","","In test",NA
674,NA,13,"CS655-DS 12CM WATER CONTENT REFLECTOMETER PLUS C/W 10 METRE CABLE","68519","CS655-33-DS-PT","09191","19/05/2025 00:00:00","","20924-3","04/02/2025 00:00:00",NA,228.65,"Simon Teagle","","Excellent","",0,"Soil T VWC",NA,NA,"Mill Farm, Chenies","",1,"Fixed","","Campbell Scientific","","CS655-33-DS-PT","","","","","","","",NA,"",NA,"","","","","","In test",NA
678,NA,13,"CS655-DS 12CM WATER CONTENT REFLECTOMETER PLUS C/W 10 METRE CABLE","68525","CS655-33-DS-PT","09191","19/05/2025 00:00:00","","20924-3","04/02/2025 00:00:00",NA,228.65,"Simon Teagle","","Excellent","",0,"Soil T VWC",NA,NA,"Mill Farm, Chenies","",1,"Fixed","","Campbell Scientific","","CS655-33-DS-PT","","","","","","","",NA,"",NA,"","","","","","In test",NA
683,NA,13,"CS655-DS 12CM WATER CONTENT REFLECTOMETER PLUS C/W 10 METRE CABLE","68531","CS655-33-DS-PT","09191","19/05/2025 00:00:00","","20924-3","04/02/2025 00:00:00",NA,228.65,"Simon Teagle","","Excellent","",0,"Soil T VWC",NA,NA,"Mill Farm, Chenies","",1,"Fixed","","Campbell Scientific","","CS655-33-DS-PT","","","","","","","",NA,"",NA,"","","","","","In test",NA
707,NA,13,"HFP01SC HEAT FLUX SENSOR SELF CALIBRATING C/W 5M CABLE","8321","","09191","19/05/2025 00:00:00","","20924-3","04/02/2025 00:00:00",NA,749.16,"Simon Teagle","","Excellent","",0,"",NA,NA,"Mill Farm, Chenies","",1,"Fixed","Netherlands","Hukseflux","","HFP01SC-05","","","","","","","",NA,"",NA,"","","","","","In test",NA
723,NA,13,"NR01 net rediation sensor","4896","","09191","19/05/2025 00:00:00","","20924-4","04/02/2025 00:00:00",NA,3191.75,"Simon Teagle","","Excellent","",0,"Radiometer (4-component)",NA,NA,"Mill Farm, Chenies","",1,"Fixed","Netherlands","Huskeflux","Huskeflux","NR01","","","","0","","","2m",NA,"",NA,"","","","","","In test",NA
727,NA,13,"S2-411 NDVI UPWARD RADIOMETER C/W SDI-12 OUTPUT & 5M CABLE","1707","","09191","19/05/2025 00:00:00","","20924-4","04/02/2025 00:00:00",NA,623.9,"Simon Teagle","","Excellent","",0,"NDVI",NA,NA,"Mill Farm, Chenies","",1,"Fixed","USA","Apogee Instrument","","S2-411","","","","","","","",NA,"",NA,"","","","","","In test",NA
741,NA,13,"SDM-CD16S DC control module ","1964","","09191","19/05/2025 00:00:00","","20924-2","04/02/2025 00:00:00",NA,NA,"Simon Teagle","","Excellent","",0,"",NA,NA,"Mill Farm, Chenies","",1,"Fixed","","Campbell Scientific","","SDM-CD16S","","","","","","","",NA,"",NA,"","","","","","In test",NA
746,NA,13,"SoilVUE10 Soil Moist0.5M 6 SENS 10M CAB","39470-002899","","09191","22/05/2025 00:00:00","","20924-1","04/02/2025 00:00:00",NA,1311.98,"Simon Teagle","","Excellent","",0,"",NA,NA,"Mill Farm, Chenies","",1,"Fixed","","Campbell Scientific","","Soilvue10 0.5M","","","","","","","",NA,"",NA,"","","","","","In test",NA
757,NA,13,"TEROS 22 WATER POTENTIAL & TEMPERATURE PROBE C/W 10 METRE CABLE","T22-000002328","","09191","","","","",NA,NA,"Simon Teagle","","Excellent","",0,"",NA,NA,"Mill Farm, Chenies","",1,"Fixed","","Campbell Scientific","","","","","","","","","",NA,"",NA,"","","","","","In test",NA
758,NA,13,"TEROS 22 WATER POTENTIAL & TEMPERATURE PROBE C/W 10 METRE CABLE","T22-000002319","","09191","","","","",NA,NA,"Simon Teagle","","Excellent","",0,"",NA,NA,"Mill Farm, Chenies","",1,"Fixed","","Campbell Scientific","","","","","","","","","",NA,"",NA,"","","","","","In test",NA
759,NA,13,"TEROS 22 WATER POTENTIAL & TEMPERATURE PROBE C/W 10 METRE CABLE","T22-000002458","","09191","","","","",NA,NA,"Simon Teagle","","Excellent","",0,"Tensiometer",NA,NA,"Mill Farm, Chenies","",1,"Fixed","","Campbell Scientific","","","","","","","","","",NA,"",NA,"","","","","","In test",NA
760,NA,13,"TEROS 22 WATER POTENTIAL & TEMPERATURE PROBE C/W 10 METRE CABLE","T22-000002320","","09191","","","","",NA,NA,"Simon Teagle","","Excellent","",0,"Tensiometer",NA,NA,"Mill Farm, Chenies","",1,"Fixed","","Campbell Scientific","","","","","","","","","",NA,"",NA,"","","","","","In test",NA
1483,0,13,"Druke Pressure Sensor","13310996","","09191","","","","",NA,NA,"Simon Teagle","","Excellent","",0,"Barometer",0,NA,"Mill Farm, Chenies","",1,"","","Druke","","","","","","0","","","",NA,"",NA,"","","","","","In test",NA
1484,0,13,"SI-411","10384","","09191","","","","",NA,NA,"Simon Teagle","","Excellent","",0,"Other",0,NA,"Mill Farm, Chenies","",1,"","","","","","","","","0","","","",NA,"",NA,"","","","","","In test",NA
1486,0,13,"TS100SS","3542","","09191","","","","",NA,NA,"Simon Teagle","","Excellent","",0,"Other",0,NA,"Mill Farm, Chenies","",1,"","","","","","","","","0","","","",NA,"",NA,"","","","","","In test",NA
1487,0,13,"HMP155","X1148397","","09191","","","","",NA,NA,"Simon Teagle","","Excellent","",0,"RH TA (aspirated)",0,NA,"Mill Farm, Chenies","",1,"","","","","","","","","0","","","",NA,"",NA,"","","","","","In test",NA
