"ID","locHistory_Catchment","locHistory_LocationName","locHistory_SiteCode","locHistory_GridReference","locHistory_Date","locHistory_AssetID","locHistory_MovementType","locHistory_Date_End","locHistory_Sensor_Height","locHistory_Canopy_Height_At_Install","locHistory_Sensor_Depth","locHistory_Instrument_In_Use","locHistory_Notes","locHistory_DistFromInlet","locHistory_Datum","locHistory_DistFromDatum","locHistory_Sensor.firmware","locHistory_Vertical.offset","locHistory_North.offset","locHistory_East.offset","locHistory_Azimuth","locHistory_CPEC_Pump_Flow_Rate"
112,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1557,"","",300,10,0,"Yes","",0,0,0,NA,0.6,8.34,12.87,"225",NA
113,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1558,"","",300,10,0,"","",0,0,0,NA,NA,NA,NA,"",NA
114,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1559,"","",300,10,0,"Yes","",0,0,0,NA,-15,8,12,"225 dgrees",NA
115,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1560,"","",0,NA,0,"","",0,0,0,NA,NA,NA,NA,"",NA
116,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1561,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
117,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1562,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
118,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1563,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
119,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1564,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
120,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1565,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
121,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",642,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
122,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1566,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
123,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1567,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
124,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",686,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
125,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",742,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
126,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",765,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
127,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",710,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
128,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",650,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
129,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",728,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
130,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",730,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
131,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",721,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
132,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",654,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
133,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",663,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
134,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",657,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
135,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",662,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
136,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",659,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
137,"","","xx-UKCEH_Bangor",NA,"16/02/2026 00:00:00",658,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
138,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1568,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
139,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1569,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
140,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1570,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
141,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1571,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
142,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1572,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
143,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",1573,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
144,"","","xx-UKCEH_Wallingford",NA,"16/02/2026 00:00:00",749,"","",0,0,0,"","",0,0,0,NA,NA,NA,NA,"",NA
