METHOD_ID,PARAM_ID
LW_CORR,CORRECT_TS
LW_CORR,CORRECTION_FACTOR
LW_CORR,LW_UNC
LW_CORR,TEMPERATURE
WD,CORRECT_TS
WD,UX
WD,UY
PA_CORR,CORRECT_TS
PA_CORR,CORRECTION_FACTOR
PA_CORR,DEP_TS
PA_CORR,DEP_TS
PA_CORR,SITE_ATTRIBUTE
SCALAR,CORRECT_TS
SCALAR,CORRECTION_FACTOR
ADD,CORRECT_TS
ADD,CORRECTION_FACTOR
POWER,CORRECT_TS
POWER,CORRECTION_FACTOR
CLIP,CORRECT_TS
CLIP,MIN
CLIP,MAX
ALBEDO_SOUTH_SLOPE_CORRECTION,CORRECT_TS
ALBEDO_SOUTH_SLOPE_CORRECTION,THETA_G
ALBEDO_SOUTH_SLOPE_CORRECTION,SWIN
ALBEDO_SOUTH_SLOPE_CORRECTION,SOLAR_ZENITH
ABSOLUTE,CORRECT_TS
