SITE_ID,WINDMASTER_HEIGHT
ALIC1,2.6
BALRD,2.6
BICKL,2.6
BUNNY,2.6
CARDT,2.6
CGARW,2.6
CHIMN,2.6
CHOBH,2.6
COCHN,2.6
COCLP,2.6
CRICH,2.6
EASTB,2.6
ELMST,2.6
EUSTN,2.6
FINCH,2.6
FIVET,2.6
GISBN,2.6
GLENS,2.6
GLENW,2.6
HADLW,2.6
HARTW,2.6
HARWD,2.6
HENFS,2.6
HILLB,2.6
HLACY,2.6
HOLLN,2.6
HYBRY,2.6
LIZRD,2.6
LODTN,2.6
LULLN,2.6
MOORH,2.6
MOREM,2.6
MORLY,2.6
NWYKE,2.6
PLYNL,2.6
PORTN,2.6
RDMER,2.6
REDHL,2.6
RISEH,2.6
ROTHD,2.6
SHEEP,2.6
SOURH,2.6
SPENF,2.6
STGHT,2.6
STIPS,2.6
SYDLG,2.6
TADHM,2.6
WADDN,2.6
WIMPL,2.6
WRTTL,2.6
WYTH1,2.6
