FLAG_DEF,FLAG_COLUMN,FLAG_SCHEME
ALBEDO_FLAG_DEF,ALBEDO_CORE_FLAG,core_flag_scheme
ALBEDO_FLAG_DEF,ALBEDO_CORRS_FLAG,cosmos_correction_flag_scheme
ALBEDO_FLAG_DEF,ALBEDO_QC_FLAG,cosmos_quality_control_flag_scheme
ALBEDO_FLAG_DEF,ALBEDO_INFILL_FLAG,cosmos_infill_flag_scheme
ALBEDO_STD_FLAG_DEF,ALBEDO_SD_CORE_FLAG,core_flag_scheme
ALBEDO_STD_FLAG_DEF,ALBEDO_SD_CORRS_FLAG,cosmos_correction_flag_scheme
ALBEDO_STD_FLAG_DEF,ALBEDO_SD_QC_FLAG,cosmos_quality_control_flag_scheme
ALBEDO_STD_FLAG_DEF,ALBEDO_SD_INFILL_FLAG,cosmos_infill_flag_scheme
COSMOS_VWC_FLAG_DEF,COSMOS_VWC_CORE_FLAG,core_flag_scheme
COSMOS_VWC_FLAG_DEF,COSMOS_VWC_CORRS_FLAG,cosmos_correction_flag_scheme
COSMOS_VWC_FLAG_DEF,COSMOS_VWC_QC_FLAG,cosmos_quality_control_flag_scheme
COSMOS_VWC_FLAG_DEF,COSMOS_VWC_INFILL_FLAG,cosmos_infill_flag_scheme
COSMOS_VWC_NO_SNOW_FLAG_DEF,COSMOS_VWC_NO_SNOW_CORE_FLAG,core_flag_scheme
COSMOS_VWC_NO_SNOW_FLAG_DEF,COSMOS_VWC_NO_SNOW_CORRS_FLAG,cosmos_correction_flag_scheme
COSMOS_VWC_NO_SNOW_FLAG_DEF,COSMOS_VWC_NO_SNOW_QC_FLAG,cosmos_quality_control_flag_scheme
COSMOS_VWC_NO_SNOW_FLAG_DEF,COSMOS_VWC_NO_SNOW_INFILL_FLAG,cosmos_infill_flag_scheme
COSMOSFACTOR_INTEN_FLAG_DEF,COSMOSFACTOR_INTEN_CORE_FLAG,core_flag_scheme
COSMOSFACTOR_INTEN_FLAG_DEF,COSMOSFACTOR_INTEN_CORRS_FLAG,cosmos_correction_flag_scheme
COSMOSFACTOR_INTEN_FLAG_DEF,COSMOSFACTOR_INTEN_QC_FLAG,cosmos_quality_control_flag_scheme
COSMOSFACTOR_INTEN_FLAG_DEF,COSMOSFACTOR_INTEN_INFILL_FLAG,cosmos_infill_flag_scheme
COSMOSFACTOR_PA_FLAG_DEF,COSMOSFACTOR_PA_CORE_FLAG,core_flag_scheme
COSMOSFACTOR_PA_FLAG_DEF,COSMOSFACTOR_PA_CORRS_FLAG,cosmos_correction_flag_scheme
COSMOSFACTOR_PA_FLAG_DEF,COSMOSFACTOR_PA_QC_FLAG,cosmos_quality_control_flag_scheme
COSMOSFACTOR_PA_FLAG_DEF,COSMOSFACTOR_PA_INFILL_FLAG,cosmos_infill_flag_scheme
COSMOSFACTOR_Q_FLAG_DEF,COSMOSFACTOR_Q_CORE_FLAG,core_flag_scheme
COSMOSFACTOR_Q_FLAG_DEF,COSMOSFACTOR_Q_CORRS_FLAG,cosmos_correction_flag_scheme
COSMOSFACTOR_Q_FLAG_DEF,COSMOSFACTOR_Q_QC_FLAG,cosmos_quality_control_flag_scheme
COSMOSFACTOR_Q_FLAG_DEF,COSMOSFACTOR_Q_INFILL_FLAG,cosmos_infill_flag_scheme
COV_TS_UX_FLAG_DEF,COV_TS_UX_CORE_FLAG,core_flag_scheme
COV_TS_UX_FLAG_DEF,COV_TS_UX_CORRS_FLAG,cosmos_correction_flag_scheme
COV_TS_UX_FLAG_DEF,COV_TS_UX_QC_FLAG,cosmos_quality_control_flag_scheme
COV_TS_UX_FLAG_DEF,COV_TS_UX_INFILL_FLAG,cosmos_infill_flag_scheme
COV_TS_UY_FLAG_DEF,COV_TS_UY_CORE_FLAG,core_flag_scheme
COV_TS_UY_FLAG_DEF,COV_TS_UY_CORRS_FLAG,cosmos_correction_flag_scheme
COV_TS_UY_FLAG_DEF,COV_TS_UY_QC_FLAG,cosmos_quality_control_flag_scheme
COV_TS_UY_FLAG_DEF,COV_TS_UY_INFILL_FLAG,cosmos_infill_flag_scheme
COV_TS_UZ_FLAG_DEF,COV_TS_UZ_CORE_FLAG,core_flag_scheme
COV_TS_UZ_FLAG_DEF,COV_TS_UZ_CORRS_FLAG,cosmos_correction_flag_scheme
COV_TS_UZ_FLAG_DEF,COV_TS_UZ_QC_FLAG,cosmos_quality_control_flag_scheme
COV_TS_UZ_FLAG_DEF,COV_TS_UZ_INFILL_FLAG,cosmos_infill_flag_scheme
COV_UX_UY_FLAG_DEF,COV_UX_UY_CORE_FLAG,core_flag_scheme
COV_UX_UY_FLAG_DEF,COV_UX_UY_CORRS_FLAG,cosmos_correction_flag_scheme
COV_UX_UY_FLAG_DEF,COV_UX_UY_QC_FLAG,cosmos_quality_control_flag_scheme
COV_UX_UY_FLAG_DEF,COV_UX_UY_INFILL_FLAG,cosmos_infill_flag_scheme
COV_UX_UZ_FLAG_DEF,COV_UX_UZ_CORE_FLAG,core_flag_scheme
COV_UX_UZ_FLAG_DEF,COV_UX_UZ_CORRS_FLAG,cosmos_correction_flag_scheme
COV_UX_UZ_FLAG_DEF,COV_UX_UZ_QC_FLAG,cosmos_quality_control_flag_scheme
COV_UX_UZ_FLAG_DEF,COV_UX_UZ_INFILL_FLAG,cosmos_infill_flag_scheme
COV_UY_UZ_FLAG_DEF,COV_UY_UZ_CORE_FLAG,core_flag_scheme
COV_UY_UZ_FLAG_DEF,COV_UY_UZ_CORRS_FLAG,cosmos_correction_flag_scheme
COV_UY_UZ_FLAG_DEF,COV_UY_UZ_QC_FLAG,cosmos_quality_control_flag_scheme
COV_UY_UZ_FLAG_DEF,COV_UY_UZ_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_BARE_FLAG_DEF,CTS_BARE_CORE_FLAG,core_flag_scheme
CTS_BARE_FLAG_DEF,CTS_BARE_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_BARE_FLAG_DEF,CTS_BARE_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_BARE_FLAG_DEF,CTS_BARE_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_EST_CRNS_FLAG_DEF,CTS_EST_CRNS_CORE_FLAG,core_flag_scheme
CTS_EST_CRNS_FLAG_DEF,CTS_EST_CRNS_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_EST_CRNS_FLAG_DEF,CTS_EST_CRNS_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_EST_CRNS_FLAG_DEF,CTS_EST_CRNS_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_EST_SNOWFOX_FLAG_DEF,CTS_EST_SNOWFOX_CORE_FLAG,core_flag_scheme
CTS_EST_SNOWFOX_FLAG_DEF,CTS_EST_SNOWFOX_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_EST_SNOWFOX_FLAG_DEF,CTS_EST_SNOWFOX_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_EST_SNOWFOX_FLAG_DEF,CTS_EST_SNOWFOX_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_MOD_FLAG_DEF,CTS_MOD_CORE_FLAG,core_flag_scheme
CTS_MOD_FLAG_DEF,CTS_MOD_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_MOD_FLAG_DEF,CTS_MOD_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_MOD_FLAG_DEF,CTS_MOD_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_MOD_CORR_FLAG_DEF,CTS_MOD_CORR_CORE_FLAG,core_flag_scheme
CTS_MOD_CORR_FLAG_DEF,CTS_MOD_CORR_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_MOD_CORR_FLAG_DEF,CTS_MOD_CORR_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_MOD_CORR_FLAG_DEF,CTS_MOD_CORR_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_MOD_PERIOD_FLAG_DEF,CTS_MOD_PERIOD_CORE_FLAG,core_flag_scheme
CTS_MOD_PERIOD_FLAG_DEF,CTS_MOD_PERIOD_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_MOD_PERIOD_FLAG_DEF,CTS_MOD_PERIOD_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_MOD_PERIOD_FLAG_DEF,CTS_MOD_PERIOD_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_MOD_RH_FLAG_DEF,CTS_MOD_RH_CORE_FLAG,core_flag_scheme
CTS_MOD_RH_FLAG_DEF,CTS_MOD_RH_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_MOD_RH_FLAG_DEF,CTS_MOD_RH_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_MOD_RH_FLAG_DEF,CTS_MOD_RH_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_MOD_TEMP_FLAG_DEF,CTS_MOD_TEMP_CORE_FLAG,core_flag_scheme
CTS_MOD_TEMP_FLAG_DEF,CTS_MOD_TEMP_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_MOD_TEMP_FLAG_DEF,CTS_MOD_TEMP_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_MOD_TEMP_FLAG_DEF,CTS_MOD_TEMP_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_MOD2_FLAG_DEF,CTS_MOD2_CORE_FLAG,core_flag_scheme
CTS_MOD2_FLAG_DEF,CTS_MOD2_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_MOD2_FLAG_DEF,CTS_MOD2_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_MOD2_FLAG_DEF,CTS_MOD2_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_MOD2_PERIOD_FLAG_DEF,CTS_MOD2_PERIOD_CORE_FLAG,core_flag_scheme
CTS_MOD2_PERIOD_FLAG_DEF,CTS_MOD2_PERIOD_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_MOD2_PERIOD_FLAG_DEF,CTS_MOD2_PERIOD_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_MOD2_PERIOD_FLAG_DEF,CTS_MOD2_PERIOD_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_MOD2_RH_FLAG_DEF,CTS_MOD2_RH_CORE_FLAG,core_flag_scheme
CTS_MOD2_RH_FLAG_DEF,CTS_MOD2_RH_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_MOD2_RH_FLAG_DEF,CTS_MOD2_RH_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_MOD2_RH_FLAG_DEF,CTS_MOD2_RH_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_MOD2_TEMP_FLAG_DEF,CTS_MOD2_TEMP_CORE_FLAG,core_flag_scheme
CTS_MOD2_TEMP_FLAG_DEF,CTS_MOD2_TEMP_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_MOD2_TEMP_FLAG_DEF,CTS_MOD2_TEMP_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_MOD2_TEMP_FLAG_DEF,CTS_MOD2_TEMP_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_SNOW_FLAG_DEF,CTS_SNOW_CORE_FLAG,core_flag_scheme
CTS_SNOW_FLAG_DEF,CTS_SNOW_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_SNOW_FLAG_DEF,CTS_SNOW_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_SNOW_FLAG_DEF,CTS_SNOW_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_SNOW_PERIOD_FLAG_DEF,CTS_SNOW_PERIOD_CORE_FLAG,core_flag_scheme
CTS_SNOW_PERIOD_FLAG_DEF,CTS_SNOW_PERIOD_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_SNOW_PERIOD_FLAG_DEF,CTS_SNOW_PERIOD_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_SNOW_PERIOD_FLAG_DEF,CTS_SNOW_PERIOD_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_SNOW_RH_FLAG_DEF,CTS_SNOW_RH_CORE_FLAG,core_flag_scheme
CTS_SNOW_RH_FLAG_DEF,CTS_SNOW_RH_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_SNOW_RH_FLAG_DEF,CTS_SNOW_RH_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_SNOW_RH_FLAG_DEF,CTS_SNOW_RH_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_SNOW_TEMP_FLAG_DEF,CTS_SNOW_TEMP_CORE_FLAG,core_flag_scheme
CTS_SNOW_TEMP_FLAG_DEF,CTS_SNOW_TEMP_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_SNOW_TEMP_FLAG_DEF,CTS_SNOW_TEMP_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_SNOW_TEMP_FLAG_DEF,CTS_SNOW_TEMP_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_SNOWFOX_FLAG_DEF,CTS_SNOWFOX_CORE_FLAG,core_flag_scheme
CTS_SNOWFOX_FLAG_DEF,CTS_SNOWFOX_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_SNOWFOX_FLAG_DEF,CTS_SNOWFOX_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_SNOWFOX_FLAG_DEF,CTS_SNOWFOX_INFILL_FLAG,cosmos_infill_flag_scheme
CTS_SNOWFOX_CORR_FLAG_DEF,CTS_SNOWFOX_CORR_CORE_FLAG,core_flag_scheme
CTS_SNOWFOX_CORR_FLAG_DEF,CTS_SNOWFOX_CORR_CORRS_FLAG,cosmos_correction_flag_scheme
CTS_SNOWFOX_CORR_FLAG_DEF,CTS_SNOWFOX_CORR_QC_FLAG,cosmos_quality_control_flag_scheme
CTS_SNOWFOX_CORR_FLAG_DEF,CTS_SNOWFOX_CORR_INFILL_FLAG,cosmos_infill_flag_scheme
D86_150M_FLAG_DEF,D86_150M_CORE_FLAG,core_flag_scheme
D86_150M_FLAG_DEF,D86_150M_CORRS_FLAG,cosmos_correction_flag_scheme
D86_150M_FLAG_DEF,D86_150M_QC_FLAG,cosmos_quality_control_flag_scheme
D86_150M_FLAG_DEF,D86_150M_INFILL_FLAG,cosmos_infill_flag_scheme
D86_1M_FLAG_DEF,D86_1M_CORE_FLAG,core_flag_scheme
D86_1M_FLAG_DEF,D86_1M_CORRS_FLAG,cosmos_correction_flag_scheme
D86_1M_FLAG_DEF,D86_1M_QC_FLAG,cosmos_quality_control_flag_scheme
D86_1M_FLAG_DEF,D86_1M_INFILL_FLAG,cosmos_infill_flag_scheme
D86_200M_FLAG_DEF,D86_200M_CORE_FLAG,core_flag_scheme
D86_200M_FLAG_DEF,D86_200M_CORRS_FLAG,cosmos_correction_flag_scheme
D86_200M_FLAG_DEF,D86_200M_QC_FLAG,cosmos_quality_control_flag_scheme
D86_200M_FLAG_DEF,D86_200M_INFILL_FLAG,cosmos_infill_flag_scheme
D86_25M_FLAG_DEF,D86_25M_CORE_FLAG,core_flag_scheme
D86_25M_FLAG_DEF,D86_25M_CORRS_FLAG,cosmos_correction_flag_scheme
D86_25M_FLAG_DEF,D86_25M_QC_FLAG,cosmos_quality_control_flag_scheme
D86_25M_FLAG_DEF,D86_25M_INFILL_FLAG,cosmos_infill_flag_scheme
D86_5M_FLAG_DEF,D86_5M_CORE_FLAG,core_flag_scheme
D86_5M_FLAG_DEF,D86_5M_CORRS_FLAG,cosmos_correction_flag_scheme
D86_5M_FLAG_DEF,D86_5M_QC_FLAG,cosmos_quality_control_flag_scheme
D86_5M_FLAG_DEF,D86_5M_INFILL_FLAG,cosmos_infill_flag_scheme
D86_75M_FLAG_DEF,D86_75M_CORE_FLAG,core_flag_scheme
D86_75M_FLAG_DEF,D86_75M_CORRS_FLAG,cosmos_correction_flag_scheme
D86_75M_FLAG_DEF,D86_75M_QC_FLAG,cosmos_quality_control_flag_scheme
D86_75M_FLAG_DEF,D86_75M_INFILL_FLAG,cosmos_infill_flag_scheme
E_SAT_MEAN_FLAG_DEF,E_SAT_MEAN_CORE_FLAG,core_flag_scheme
E_SAT_MEAN_FLAG_DEF,E_SAT_MEAN_CORRS_FLAG,cosmos_correction_flag_scheme
E_SAT_MEAN_FLAG_DEF,E_SAT_MEAN_QC_FLAG,cosmos_quality_control_flag_scheme
E_SAT_MEAN_FLAG_DEF,E_SAT_MEAN_INFILL_FLAG,cosmos_infill_flag_scheme
EFF_DEPTH_FLAG_DEF,EFF_DEPTH_CORE_FLAG,core_flag_scheme
EFF_DEPTH_FLAG_DEF,EFF_DEPTH_CORRS_FLAG,cosmos_correction_flag_scheme
EFF_DEPTH_FLAG_DEF,EFF_DEPTH_QC_FLAG,cosmos_quality_control_flag_scheme
EFF_DEPTH_FLAG_DEF,EFF_DEPTH_INFILL_FLAG,cosmos_infill_flag_scheme
G_FLAG_DEF,G_CORE_FLAG,core_flag_scheme
G_FLAG_DEF,G_CORRS_FLAG,cosmos_correction_flag_scheme
G_FLAG_DEF,G_QC_FLAG,cosmos_quality_control_flag_scheme
G_FLAG_DEF,G_INFILL_FLAG,cosmos_infill_flag_scheme
G1_FLAG_DEF,G1_CORE_FLAG,core_flag_scheme
G1_FLAG_DEF,G1_CORRS_FLAG,cosmos_correction_flag_scheme
G1_FLAG_DEF,G1_QC_FLAG,cosmos_quality_control_flag_scheme
G1_FLAG_DEF,G1_INFILL_FLAG,cosmos_infill_flag_scheme
G2_FLAG_DEF,G2_CORE_FLAG,core_flag_scheme
G2_FLAG_DEF,G2_CORRS_FLAG,cosmos_correction_flag_scheme
G2_FLAG_DEF,G2_QC_FLAG,cosmos_quality_control_flag_scheme
G2_FLAG_DEF,G2_INFILL_FLAG,cosmos_infill_flag_scheme
HS_FLAG_DEF,HS_CORE_FLAG,core_flag_scheme
HS_FLAG_DEF,HS_CORRS_FLAG,cosmos_correction_flag_scheme
HS_FLAG_DEF,HS_QC_FLAG,cosmos_quality_control_flag_scheme
HS_FLAG_DEF,HS_INFILL_FLAG,cosmos_infill_flag_scheme
LWIN_FLAG_DEF,LWIN_CORE_FLAG,core_flag_scheme
LWIN_FLAG_DEF,LWIN_CORRS_FLAG,cosmos_correction_flag_scheme
LWIN_FLAG_DEF,LWIN_QC_FLAG,cosmos_quality_control_flag_scheme
LWIN_FLAG_DEF,LWIN_INFILL_FLAG,cosmos_infill_flag_scheme
LWIN_MULT_FLAG_DEF,LWIN_MULT_CORE_FLAG,core_flag_scheme
LWIN_MULT_FLAG_DEF,LWIN_MULT_CORRS_FLAG,cosmos_correction_flag_scheme
LWIN_MULT_FLAG_DEF,LWIN_MULT_QC_FLAG,cosmos_quality_control_flag_scheme
LWIN_MULT_FLAG_DEF,LWIN_MULT_INFILL_FLAG,cosmos_infill_flag_scheme
LWOUT_FLAG_DEF,LWOUT_CORE_FLAG,core_flag_scheme
LWOUT_FLAG_DEF,LWOUT_CORRS_FLAG,cosmos_correction_flag_scheme
LWOUT_FLAG_DEF,LWOUT_QC_FLAG,cosmos_quality_control_flag_scheme
LWOUT_FLAG_DEF,LWOUT_INFILL_FLAG,cosmos_infill_flag_scheme
LWOUT_MULT_FLAG_DEF,LWOUT_MULT_CORE_FLAG,core_flag_scheme
LWOUT_MULT_FLAG_DEF,LWOUT_MULT_CORRS_FLAG,cosmos_correction_flag_scheme
LWOUT_MULT_FLAG_DEF,LWOUT_MULT_QC_FLAG,cosmos_quality_control_flag_scheme
LWOUT_MULT_FLAG_DEF,LWOUT_MULT_INFILL_FLAG,cosmos_infill_flag_scheme
MSLP_FLAG_DEF,MSLP_CORE_FLAG,core_flag_scheme
MSLP_FLAG_DEF,MSLP_CORRS_FLAG,cosmos_correction_flag_scheme
