FLAG_TS,METHOD_ID,PARAM_ID,PARAM_NUMERIC_VALUE,PARAM_TS_VALUE,PARAM_TIME_VALUE
FDRI-SE-CARWE-01-RH_1MIN_RAW,BATTERY_V,LT,10.5,,
FDRI-SE-CARWE-01-RH_1MIN_RAW,BATTERY_V,DEP_TS,,FDRI-SE-CARWE-01-BATTV_1MIN_RAW,
FDRI-SE-CARWE-01-WD_1MIN_RAW,BATTERY_V,LT,10.5,,
FDRI-SE-CARWE-01-WD_1MIN_RAW,BATTERY_V,DEP_TS,,FDRI-SE-CARWE-01-BATTV_1MIN_RAW,
FDRI-SE-CARWE-01-WS_1MIN_RAW,BATTERY_V,LT,10.5,,
FDRI-SE-CARWE-01-WS_1MIN_RAW,BATTERY_V,DEP_TS,,FDRI-SE-CARWE-01-BATTV_1MIN_RAW,
FDRI-SE-CARWE-01-RAINE_INT_1MIN_RAW,BATTERY_V,LT,10.5,,
FDRI-SE-CARWE-01-RAINE_INT_1MIN_RAW,BATTERY_V,DEP_TS,,FDRI-SE-CARWE-01-BATTV_1MIN_RAW,
FDRI-SE-CARWE-01-RAINE_INT_HR_1MIN_RAW,BATTERY_V,LT,10.5,,
FDRI-SE-CARWE-01-RAINE_INT_HR_1MIN_RAW,BATTERY_V,DEP_TS,,FDRI-SE-CARWE-01-BATTV_1MIN_RAW,
FDRI-SE-CARWE-01-RAINE_INT_LR_1MIN_RAW,BATTERY_V,LT,10.5,,
FDRI-SE-CARWE-01-RAINE_INT_LR_1MIN_RAW,BATTERY_V,DEP_TS,,FDRI-SE-CARWE-01-BATTV_1MIN_RAW,
FDRI-SE-CARWE-01-RAINE_INT_LR_HR_1MIN_RAW,BATTERY_V,LT,10.5,,
FDRI-SE-CARWE-01-RAINE_INT_LR_HR_1MIN_RAW,BATTERY_V,DEP_TS,,FDRI-SE-CARWE-01-BATTV_1MIN_RAW,
FDRI-SE-CARWE-01-RAINE_PRECIP_1MIN_RAW,BATTERY_V,LT,10.5,,
FDRI-SE-CARWE-01-RAINE_PRECIP_1MIN_RAW,BATTERY_V,DEP_TS,,FDRI-SE-CARWE-01-BATTV_1MIN_RAW,
FDRI-SE-CARWE-01-RAINE_PRECIP_TOT_1MIN_RAW,BATTERY_V,LT,10.5,,
