FLAG_DEF,FLAG_COLUMN,FLAG_SCHEME
ALBEDO_FLAG_DEF,albedo_Avg_CORE_FLAG,core_flag_scheme
ALBEDO_FLAG_DEF,albedo_Avg_CORRS_FLAG,fdri_correction_flag_scheme
ALBEDO_FLAG_DEF,albedo_Avg_INFILL_FLAG,fdri_infill_flag_scheme
ALBEDO_FLAG_DEF,albedo_Avg_QC_FLAG,fdri_quality_control_flag_scheme
BH_WATER_LEV_PT_FLAG_DEF,0001_CORE_FLAG,core_flag_scheme
BH_WATER_LEV_PT_FLAG_DEF,0001_CORRS_FLAG,fdri_correction_flag_scheme
BH_WATER_LEV_PT_FLAG_DEF,0001_INFILL_FLAG,fdri_infill_flag_scheme
BH_WATER_LEV_PT_FLAG_DEF,0001_QC_FLAG,fdri_quality_control_flag_scheme
BH_WATER_TEMP_FLAG_DEF,0002_CORE_FLAG,core_flag_scheme
BH_WATER_TEMP_FLAG_DEF,0002_CORRS_FLAG,fdri_correction_flag_scheme
BH_WATER_TEMP_FLAG_DEF,0002_INFILL_FLAG,fdri_infill_flag_scheme
BH_WATER_TEMP_FLAG_DEF,0002_QC_FLAG,fdri_quality_control_flag_scheme
DEWPOINT_FLAG_DEF,DewPoint_C_CORE_FLAG,core_flag_scheme
DEWPOINT_FLAG_DEF,DewPoint_C_CORRS_FLAG,fdri_correction_flag_scheme
DEWPOINT_FLAG_DEF,DewPoint_C_INFILL_FLAG,fdri_infill_flag_scheme
DEWPOINT_FLAG_DEF,DewPoint_C_QC_FLAG,fdri_quality_control_flag_scheme
DIST_TO_WATER_RADAR_FLAG_DEF,Distance_m_Avg_CORE_FLAG,core_flag_scheme
DIST_TO_WATER_RADAR_FLAG_DEF,Distance_m_Avg_CORRS_FLAG,fdri_correction_flag_scheme
DIST_TO_WATER_RADAR_FLAG_DEF,Distance_m_Avg_INFILL_FLAG,fdri_infill_flag_scheme
DIST_TO_WATER_RADAR_FLAG_DEF,Distance_m_Avg_QC_FLAG,fdri_quality_control_flag_scheme
EC_0_FLAG_DEF,CS655_0_EC_CORE_FLAG,core_flag_scheme
EC_0_FLAG_DEF,CS655_0_EC_CORRS_FLAG,fdri_correction_flag_scheme
EC_0_FLAG_DEF,CS655_0_EC_INFILL_FLAG,fdri_infill_flag_scheme
EC_0_FLAG_DEF,CS655_0_EC_QC_FLAG,fdri_quality_control_flag_scheme
EC_1_FLAG_DEF,CS655_1_EC_CORE_FLAG,core_flag_scheme
EC_1_FLAG_DEF,CS655_1_EC_CORRS_FLAG,fdri_correction_flag_scheme
EC_1_FLAG_DEF,CS655_1_EC_INFILL_FLAG,fdri_infill_flag_scheme
EC_1_FLAG_DEF,CS655_1_EC_QC_FLAG,fdri_quality_control_flag_scheme
EC_2_FLAG_DEF,CS655_2_EC_CORE_FLAG,core_flag_scheme
EC_2_FLAG_DEF,CS655_2_EC_CORRS_FLAG,fdri_correction_flag_scheme
EC_2_FLAG_DEF,CS655_2_EC_INFILL_FLAG,fdri_infill_flag_scheme
EC_2_FLAG_DEF,CS655_2_EC_QC_FLAG,fdri_quality_control_flag_scheme
EC_3_FLAG_DEF,CS655_3_EC_CORE_FLAG,core_flag_scheme
EC_3_FLAG_DEF,CS655_3_EC_CORRS_FLAG,fdri_correction_flag_scheme
EC_3_FLAG_DEF,CS655_3_EC_INFILL_FLAG,fdri_infill_flag_scheme
