ID,PARENT_ID,PARAMETER_ID,UNIT_ID,STATISTIC_ID,PERIODICITY,RESOLUTION,DESCRIPTION
DISCHARGE-INST-M3S-1,,DISCHARGE,M3S-1,INST,,,Instantaneous discharge in cubic metres per second
DISCHARGE-INST-LS-1,,DISCHARGE,LS-1,INST,,,Instantaneous discharge in litres per second
WATER_VELOCITY-MS-1,,WATER_VELOCITY,MS-1,,,,Water velocity in metres per second
WATER_VELOCITY-INST-MS-1,WATER_VELOCITY-MS-1,WATER_VELOCITY,MS-1,INST,,,Instantaneous water velocity in metres per second
WATER_VELOCITY-MEAN-MS-1,WATER_VELOCITY-MS-1,WATER_VELOCITY,MS-1,MEAN,,,Mean water velocity in metres per second
WATER_VELOCITY-MAX-MS-1,WATER_VELOCITY-MS-1,WATER_VELOCITY,MS-1,MAX,,,Maximum water velocity in metres per second
REV-COUNT,,REV,UNITLESS,Number of revolutions,,,Number of revolutions counted in measurement period
REV-TOTAL-COUNT,,REV,UNITLESS,TOTAL,,,Total number of revolutions counted in measurement Period
ANGULAR_VELOCITY-REVS-1,,ANGULAR_VELOCITY,REVS-1,MEAN,,,Mean angular velocity in revolutions per second
WATER_TEMP-DEGC,,WATER_TEMP,DEGC,,,,Water temperature in degrees Celsius
WATER_TEMP-INST-DEGC,WATER_TEMP-DEGC,WATER_TEMP,DEGC,INST,,,Instantaneous water temperature in degrees Celsius
WATER_TEMP-MEAN-DEGC,WATER_TEMP-DEGC,WATER_TEMP,DEGC,MEAN,,,Mean water temperature in degrees Celsius
AIR_DENSITY-INST-KGM-3-PT30M-PT30M,,AIR_DENSITY,KGM-3,INST,PT30M,PT30M,
ALBEDO-MEAN_PREC-UNITLESS-P1D-P1D,,ALBEDO,UNITLESS,MEAN_PREC,P1D,P1D,Mean albedo over the preceding day
ALBEDO-MEAN_PREC-UNITLESS-PT30M-PT30M,,ALBEDO,UNITLESS,MEAN_PREC,PT30M,PT30M,Mean albedo over the preceding 30 minutes
BUCKET_LEVEL_RT-INST-MM-PT1M-PT1M,,BUCKET_LEVEL_RT,MM,INST,PT1M,PT1M,Instantaneous bucket level (real-time) in millimetres
BUCKET_LEVEL_NRT-INST-MM-PT1M-PT1M,,BUCKET_LEVEL_NRT,MM,INST,PT1M,PT1M,Instantaneous bucket level (non-real-time) in millimetres
COND_10-INST-DSM-1-PT30M-PT30M,,COND_10,DSM-1,INST,PT30M,PT30M,Instantaneous soil electrical conductivity at 10 cm depth
COND_15-INST-DSM-1-PT30M-PT30M,,COND_15,DSM-1,INST,PT30M,PT30M,Instantaneous soil electrical conductivity at 15 cm depth
COND_25-INST-DSM-1-PT30M-PT30M,,COND_25,DSM-1,INST,PT30M,PT30M,Instantaneous soil electrical conductivity at 25 cm depth
COND_5-INST-DSM-1-PT30M-PT30M,,COND_5,DSM-1,INST,PT30M,PT30M,Instantaneous soil electrical conductivity at 5 cm depth
COND_50-INST-DSM-1-PT30M-PT30M,,COND_50,DSM-1,INST,PT30M,PT30M,Instantaneous soil electrical conductivity at 50 cm depth
DIAG_FLAG_1-INST-UNITLESS-PT30M-PT30M,,DIAG_FLAG_1,UNITLESS,INST,PT30M,PT30M,Instantaneous diagnostic flag 1
DIAG_FLAG_2-INST-UNITLESS-PT30M-PT30M,,DIAG_FLAG_2,UNITLESS,INST,PT30M,PT30M,Instantaneous diagnostic flag 2
DIAG_FLAG_3-INST-UNITLESS-PT30M-PT30M,,DIAG_FLAG_3,UNITLESS,INST,PT30M,PT30M,Instantaneous diagnostic flag 3
DIAG_FLAG_4-INST-UNITLESS-PT30M-PT30M,,DIAG_FLAG_4,UNITLESS,INST,PT30M,PT30M,Instantaneous diagnostic flag 4
DIAG_FLAG_5-INST-UNITLESS-PT30M-PT30M,,DIAG_FLAG_5,UNITLESS,INST,PT30M,PT30M,Instantaneous diagnostic flag 5
DIAG_PRECIP-INST-UNITLESS-PT30M-PT30M,,DIAG_PRECIP,UNITLESS,INST,PT30M,PT30M,Instantaneous Precipitation diagnostic flag
EFF_DEPTH-MEAN_PREC-CM-P1D-P1D,,EFF_DEPTH,CM,MEAN_PREC,P1D,P1D,D86 effective depth in cm over preceding day
EFF_DEPTH-MEAN_PREC-CM-PT1H-PT1H,,EFF_DEPTH,CM,MEAN_PREC,PT1H,PT1H,D86 effective depth in cm over preceding hour
FACTOR_INTEN-INST-UNITLESS-PT1H-PT1H,,FACTOR_INTEN,UNITLESS,INST,PT1H,PT1H,Instantaneous intensity factor (unitless)
FACTOR_PA-INST-UNITLESS-PT1H-PT1H,,FACTOR_PA,UNITLESS,INST,PT1H,PT1H,Instantaneous pressure facctor (unitless)
FACTOR_Q-INST-UNITLESS-PT1H-PT1H,,FACTOR_Q,UNITLESS,INST,PT1H,PT1H,Instantaneous water vapour factor (unitless)
FLUX_MOM-INST-KGM-1S-2-PT30M-PT30M,,FLUX_MOM,KGM-1S-2,INST,PT30M,PT30M,Instantaneous momentum flux in kilograms per metre per second squared
FRICTIONV-INST-MS-1-PT30M-PT30M,,FRICTIONV,MS-1,INST,PT30M,PT30M,Instantaneous friction velocity in metres per second
HEATFLUX_SENSIBLE-INST-WM-2-PT30M-PT30M,,HEATFLUX_SENSIBLE,WM-2,INST,PT30M,PT30M,Instantaneous sensible heat flux in watts per metre squared
HEATFLUX_SOIL_MV-INST-MV-PT30M-PT30M,,HEATFLUX_SOIL_MV,MV,INST,PT30M,PT30M,Instantaneous soil heat flux in millivolts
HEATFLUX_SOIL_CAL-INST-UNITLESS-PT30M-PT30M,,HEATFLUX_SOIL_CAL,UNITLESS,INST,PT30M,PT30M,Instantaneous soil heat flux calibration factor (unitless)
HEATFLUX_SOIL-MEAN_PREC-WM-2-P1D-P1D,,HEATFLUX_SOIL,WM-2,MEAN_PREC,P1D,P1D,Mean soil heat flux in watts per metre squared over preceding day
HEATFLUX_SOIL-MEAN_PREC-WM-2-PT30M-PT30M,,HEATFLUX_SOIL,WM-2,MEAN_PREC,PT30M,PT30M,Mean soil heat flux in watts per metre squared over preceding 30 minutes
HEATFLUX_SOIL_STD-STDDEV_PREC-WM-2-PT30M-PT30M,,HEATFLUX_SOIL_STD,WM-2,STDDEV_PREC,PT30M,PT30M,Standard deviation of soil heat flux in watts per metre squared over preceding 30 minutes
IMAGE_COLOUR_AMOUNT_BLUE_LM1-MEAN_PREC-UNITLESS-PT1M-P1D,,IMAGE_COLOUR_AMOUNT_BLUE_LM1,UNITLESS,MEAN_PREC,P1D,PT1M,Amount of blue in image after land mask 1 over preceding day
IMAGE_COLOUR_AMOUNT_BLUE_LM2-MEAN_PREC-UNITLESS-PT1M-P1D,,IMAGE_COLOUR_AMOUNT_BLUE_LM2,UNITLESS,MEAN_PREC,P1D,PT1M,Amount of blue in image after land mask 2 over preceding day
IMAGE_COLOUR_AMOUNT_RED_LM1-MEAN_PREC-UNITLESS-PT1M-P1D,,IMAGE_COLOUR_AMOUNT_RED_LM1,UNITLESS,MEAN_PREC,P1D,PT1M,Amount of red in image after land mask 1 over preceding day
IMAGE_COLOUR_AMOUNT_RED_LM2-MEAN_PREC-UNITLESS-PT1M-P1D,,IMAGE_COLOUR_AMOUNT_RED_LM2,UNITLESS,MEAN_PREC,P1D,PT1M,Amount of red in image after land mask 2 over preceding day
IMAGE_COLOUR_AMOUNT_GREEN_LM1-MEAN_PREC-UNITLESS-PT1M-P1D,,IMAGE_COLOUR_AMOUNT_GREEN_LM1,UNITLESS,MEAN_PREC,P1D,PT1M,Amount of green in image after land mask 1 over preceding day
IMAGE_COLOUR_AMOUNT_GREEN_LM2-MEAN_PREC-UNITLESS-PT1M-P1D,,IMAGE_COLOUR_AMOUNT_GREEN_LM2,UNITLESS,MEAN_PREC,P1D,PT1M,Amount of green in image after land mask 2 over preceding day
IMAGE_COLOUR_AMOUNT_BLUE_LM1-INST-UNITLESS-PT1M-PT1M,,IMAGE_COLOUR_AMOUNT_BLUE_LM1,UNITLESS,INST,PT1M,PT1M,Instantaneous amount of blue in image after land mask 1
IMAGE_COLOUR_AMOUNT_BLUE_LM2-INST-UNITLESS-PT1M-PT1M,,IMAGE_COLOUR_AMOUNT_BLUE_LM2,UNITLESS,INST,PT1M,PT1M,Instantaneous amount of blue in image after land mask 2
IMAGE_COLOUR_AMOUNT_RED_LM1-INST-UNITLESS-PT1M-PT1M,,IMAGE_COLOUR_AMOUNT_RED_LM1,UNITLESS,INST,PT1M,PT1M,Instantaneous amount of red in image after land mask 1
IMAGE_COLOUR_AMOUNT_RED_LM2-INST-UNITLESS-PT1M-PT1M,,IMAGE_COLOUR_AMOUNT_RED_LM2,UNITLESS,INST,PT1M,PT1M,Instantaneous amount of red in image after land mask 2
IMAGE_COLOUR_AMOUNT_GREEN_LM1-INST-UNITLESS-PT1M-PT1M,,IMAGE_COLOUR_AMOUNT_GREEN_LM1,UNITLESS,INST,PT1M,PT1M,Instantaneous amount of green in image after land mask 1
IMAGE_COLOUR_AMOUNT_GREEN_LM2-INST-UNITLESS-PT1M-PT1M,,IMAGE_COLOUR_AMOUNT_GREEN_LM2,UNITLESS,INST,PT1M,PT1M,Instantaneous amount of green in image after land mask 2
IMAGE_COLOUR_PROPORTION_BLUE_LM1-MEAN_PREC-UNITLESS-PT1M-P1D,,IMAGE_COLOUR_PROPORTION_BLUE_LM1,UNITLESS,MEAN_PREC,P1D,PT1M,Proportion of blue in image after land mask 1 over preceding day
IMAGE_COLOUR_PROPORTION_BLUE_LM2-MEAN_PREC-UNITLESS-PT1M-P1D,,IMAGE_COLOUR_PROPORTION_BLUE_LM2,UNITLESS,MEAN_PREC,P1D,PT1M,Proportion of blue in image after land mask 2 over preceding day
IMAGE_COLOUR_PROPORTION_RED_LM1-MEAN_PREC-UNITLESS-PT1M-P1D,,IMAGE_COLOUR_PROPORTION_RED_LM1,UNITLESS,MEAN_PREC,P1D,PT1M,Proportion of red in image after land mask 1 over preceding day
IMAGE_COLOUR_PROPORTION_RED_LM2-MEAN_PREC-UNITLESS-PT1M-P1D,,IMAGE_COLOUR_PROPORTION_RED_LM2,UNITLESS,MEAN_PREC,P1D,PT1M,Proportion of red in image after land mask 2 over preceding day
IMAGE_COLOUR_PROPORTION_GREEN_LM1-MEAN_PREC-UNITLESS-PT1M-P1D,,IMAGE_COLOUR_PROPORTION_GREEN_LM1,UNITLESS,MEAN_PREC,P1D,PT1M,Proportion of green in image after land mask 1 over preceding day
IMAGE_COLOUR_PROPORTION_GREEN_LM2-MEAN_PREC-UNITLESS-PT1M-P1D,,IMAGE_COLOUR_PROPORTION_GREEN_LM2,UNITLESS,MEAN_PREC,P1D,PT1M,Proportion of green in image after land mask 2 over preceding day
