PARAMETER_ID,PARAMETER_NAME,OBJECT_OF_INTEREST,PROPERTY,CONTEXT_OBJECT,MIN_VALUE,MAX_VALUE
AIR_DENSITY,Air density,AIR,DENSITY,,0,
ALBEDO,Albedo,GROUND,REFLECTANCE,,0,1
ANGULAR_VELOCITY,Angular velocity of sensor,SENSOR,VELOCITY,,,
BUCKET_LEVEL_NRT,Level of rain gauge bucket (non-real-time),WATER,HEIGHT,,0,
BUCKET_LEVEL_RT,Level of rain gauge bucket (real-time),WATER,HEIGHT,,0,
CO2_FLUX,CO2 flux,AIR,MASS-FLUX,,,
CO2_FRAC,CO2 fraction,AIR,FRACTION,,0,
COND,Electrical conductivity,SOIL,CONDUCTIVITY,,0,
COND_10,Electrical conductivity at 10 cm depth,SOIL,CONDUCTIVITY,,0,
COND_15,Electrical conductivity at 15 cm depth,SOIL,CONDUCTIVITY,,0,
COND_20,Electrical conductivity at 20 cm depth,SOIL,CONDUCTIVITY,,0,
COND_25,Electrical conductivity at 25 cm depth,SOIL,CONDUCTIVITY,,0,
COND_30,Electrical conductivity at 30 cm depth,SOIL,CONDUCTIVITY,,0,
COND_40,Electrical conductivity at 40 cm depth,SOIL,CONDUCTIVITY,,0,
COND_5,Electrical conductivity at 5 cm depth,SOIL,CONDUCTIVITY,,0,
COND_50,Electrical conductivity at 50 cm depth,SOIL,CONDUCTIVITY,,0,
COND_60,Electrical conductivity at 60 cm depth,SOIL,CONDUCTIVITY,,0,
COV_TS_UX,Covariance between sonic temperature and UX wind speed component,AIR,COVARIANCE,,,
COV_TS_UY,Covariance between sonic temperature and UY wind speed component,AIR,COVARIANCE,,,
COV_TS_UZ,Covariance between sonic temperature and UZ wind speed component,AIR,COVARIANCE,,,
COV_UX_UY,Covariance of wind speed component UX and UY,AIR,COVARIANCE,,,
COV_UX_UZ,Covariance of wind speed component UX and UZ,AIR,COVARIANCE,,,
COV_UY_UZ,Covariance of wind speed component UY and UZ,AIR,COVARIANCE,,,
CURRENT,Electrical current,SENSOR,CURRENT,,0,
D86_150M,Effective depth 150 m from CRNS,SOIL,DEPTH,,0,
D86_1M,Effective depth 1 m from CRNS,SOIL,DEPTH,,0,
D86_200M,Effective depth 200 m from CRNS,SOIL,DEPTH,,0,
D86_25M,Effective depth 25 m from CRNS,SOIL,DEPTH,,0,
D86_5M,Effective depth 5 m from CRNS,SOIL,DEPTH,,0,
D86_75M,Effective depth 75 m from CRNS,SOIL,DEPTH,,0,
DEW_POINT,Dew point temperature,AIR,TEMPERATURE,,,
DIAG_FLAG,Diagnostic flag 1,SENSOR,DIAGNOSTIC,,,
DIAG_PRECIP,Diagnostic flag for precipitation gauge,SENSOR,DIAGNOSTIC,,,
DLOSS,Soil dielectric loss tangent,SOIL,DLOSS,,,
EFF_DEPTH,Effective Depth,SOIL,DEPTH,,0,
ERR_FLAGS,Error Flags,SENSOR,DIAGNOSTIC,,,
ET,Evapotranspiration,AIR,EVAPOTRANSPIRATION,,,
FACTOR_INTEN,COSMOS intensity factor,NEUTRON,CALIBRATION,,0,
FACTOR_PA,COSMOS pressure factor,ATMOSPHERIC-PRESSURE,CALIBRATION,,0,
FACTOR_Q,COSMOS water vapour factor,HUMIDITY,CALIBRATION,,0,
FETCH_70,Upwind range which sources/sinks contribute 70% to the flux,AIR,FLUX,,0,
FETCH_80,Upwind range which sources/sinks contribute 80% to the flux,AIR,FLUX,,0,
FETCH_90,Upwind range which sources/sinks contribute 90% to the flux,AIR,FLUX,,0,
FETCH_MAX,Upwind range which sources/sinks contribute most to the flux,AIR,FLUX,,0,
FLUX_MOM,Momentum flux,AIR,MOMENTUM-FLUX,,,
FRICTIONV,Friction velocity,AIR,FRICTION-VELOCITY,,0,
H2O_FLUX,H2O flux,AIR,MASS-FLUX,,,
H2O_FRAC,H2O fraction,AIR,FRACTION,,0,
HEATFLUX_LATENT,Latent heat flux,AIR,HEAT-FLUX-DENSITY,,,
HEATFLUX_SENSIBLE,Sensible heat flux,AIR,HEAT-FLUX-DENSITY,,,
HEATFLUX_SOIL,Soil heat flux,SOIL,HEAT-FLUX-DENSITY,,,
HEATFLUX_SOIL_CAL,Soil heat flux calibration factor,SENSOR,CALIBRATION,,,
HEATFLUX_SOIL_MV,Soil heat flux in millivolts,SOIL,HEAT-FLUX-DENSITY,,,
HEIGHT_CANOPY,Canopy height,VEGETATION,HEIGHT,,0,
HEIGHT_MEASUREMENT,Measurement height,INSTRUMENT,HEIGHT,,0,
IMAG_DIEL_PERM,Soil imaginary dielectric permittivity,SOIL,ELECTRICAL-PERMITTIVITY,,,
