FLAG_TS,METHOD_ID,PARAM_ID,PARAM_NUMERIC_VALUE,PARAM_TS_VALUE,PARAM_TIME_VALUE
COSMOS-ALIC1-PRECIP_30MIN_RAW,RANGE,LT,0.0,,
COSMOS-ALIC1-PRECIP_30MIN_RAW,RANGE,GT,40.0,,
COSMOS-ALIC1-PRECIP_30MIN_RAW,BATTERY_V,DEP_TS,,COSMOS-ALIC1-BATTV_30MIN_RAW,
COSMOS-ALIC1-PRECIP_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-PRECIP_30MIN_RAW,ERROR_CODE,VALUE,7999.0,,
COSMOS-ALIC1-PRECIP_30MIN_RAW,ERROR_CODE,VALUE,8999.0,,
COSMOS-ALIC1-PRECIP_30MIN_RAW,PLUVIO_DIAG,DEP_TS,,COSMOS-ALIC1-PRECIP_DIAG_30MIN_RAW,
COSMOS-ALIC1-PRECIP_30MIN_RAW,PLUVIO_DIAG,GT,0.0,,
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,RANGE,LT,-30.0,,
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,RANGE,GT,25.0,,
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,BATTERY_V,DEP_TS,,COSMOS-ALIC1-BATTV_30MIN_RAW,
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,ERROR_CODE,VALUE,7999.0,,
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,ERROR_CODE,VALUE,8999.0,,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,RANGE,LT,0.5,,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,RANGE,GT,2.0,,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,BATTERY_V,DEP_TS,,COSMOS-ALIC1-BATTV_30MIN_RAW,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,ERROR_CODE,VALUE,7999.0,,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,ERROR_CODE,VALUE,8999.0,,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,SPIKE,GT,0.1,,
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,RANGE,LT,0.0,,
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,RANGE,GT,12.3,,
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,BATTERY_V,DEP_TS,,COSMOS-ALIC1-BATTV_30MIN_RAW,
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,ERROR_CODE,VALUE,7999.0,,
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,ERROR_CODE,VALUE,8999.0,,
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,RANGE,LT,0.0,,
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,RANGE,GT,100.0,,
