SITE_ID,SAMPLING_START_DATETIME,SAMPLING_END_DATETIME,REF_SOIL_MOISTURE,REF_BULKDENSITY,REF_LATTICEWATER,REF_Q0,REF_C0,REF_CTS_MOD_CORR,N0_MOD,REF_SOC,CALIBRATION_COMMENT,N_MIN,SOIL_COMMENT,N_MAX,L,GAMMA,REF_PA
ALIC1,2015-08-04T00:00:00Z,2015-08-05T00:00:00Z,0.261,0.85,0.025,9.493,156.89971,1223.959,2279.7917,0.042,,983.4327,Typical mineral soil; lower bulk density 05 be due to higher clay and/or organic content or macropores from tree roots,1861.35607,136.98854,1.09867,1000.646
BALRD,2014-07-29T00:00:00Z,2014-07-30T00:00:00Z,0.247,1.34,0.018,10.126,155.98108,1810.556,2966.89129,0.023,,1370.17499,Typical mineral soil,2647.46269,137.05984,1.35095,1001.604
BICKL,2015-02-24T00:00:00Z,2015-02-25T00:00:00Z,0.417,1.31,0.01,5.16,152.09238,1538.675,2817.06874,0.02,,1298.62076,Typical mineral soil,2608.11306,137.0128,1.24427,992.396
BUNNY,2015-02-25T00:00:00Z,2015-02-26T00:00:00Z,0.281,1.55,0.008,6.52,152.375,1801.287,2885.08029,0.016,,1370.25848,Typical mineral soil with high bulk density,2751.82592,137.17851,1.34837,1007.896
CARDT,2015-08-18T00:00:00Z,2015-08-19T00:00:00Z,0.135,1.14,0.016,8.947,154.5975,1793.532,2758.28486,0.04,,1238.72409,Typical mineral soil,2323.4709,137.25523,1.19455,1009.688
CGARW,2018-09-28T00:00:00Z,2018-09-29T00:00:00Z,0.418,0.96,0.022,7.109,166.08763,1536.95,3060.31806,0.048,radial and vertical weighted mean from 0-25 cm data,1339.90102,Typical mineral soil,2476.12026,136.25392,1.32808,998.095
CHIMN,2013-11-13T00:00:00Z,2013-11-15T00:00:00Z,0.392,1.37,0.011,6.009,155.71638,888.561,1598.92655,0.027,,740.95907,Calcareous mineral soil (around 20% calcium carbote),1438.85001,137.11855,1.19275,1020.083
CHOBH,2015-03-12T00:00:00Z,2015-03-13T00:00:00Z,0.584,0.9,0.003,5.045,150.10542,1243.265,2624.9327,0.031,,1145.50587,Highly variable soil with a mix of organic soil/material of variable thickness overlying mineral soil; low lattice and bound water,2402.62824,137.24026,1.14566,1019.625
COCHN,2017-10-18T00:00:00Z,2017-10-19T00:00:00Z,0.529,0.83,0.019,8.138,163.94808,1442.939,3083.4477,0.068,radial and vertical weighted mean from 0-25 cm data,1323.5738,Mineral soil with high soil organic carbon,2381.04618,136.70364,1.2,992.113
COCLP,2014-12-10T00:00:00Z,2014-12-11T00:00:00Z,0.449,1.21,0.02,4.966,148.80029,1481.568,2839.53821,0.033,,1286.78637,Typical mineral soil,2418.56833,137.03453,1.45409,990.75
CRICH,2014-12-08T00:00:00Z,2014-12-09T00:00:00Z,0.428,1.15,0.011,4.927,147.88396,1456.015,2799.37931,0.045,,1257.8768,Typical mineral soil,2359.66828,137.20689,1.40897,1011.229
EASTB,2014-09-16T00:00:00Z,2014-09-17T00:00:00Z,0.302,1.1,0.019,10.95,153.00708,1522.316,2742.4718,0.033,,1226.11433,Typical mineral soil,2353.06165,136.58305,1.33496,994.646
ELMST,2017-01-19T00:00:00Z,2017-01-20T00:00:00Z,0.406,1.26,0.015,4.372,164.08954,1763.499,3254.0107,0.022,radial and vertical weighted mean from 0-25 cm data,1487.94016,Calcareous mineral soil (around 5% calcium carbote),2933.56778,137.07475,1.33508,1027.993
EUSTN,2017-01-18T00:00:00Z,2017-01-19T00:00:00Z,0.189,1.27,0.003,3.755,164.10154,2011.729,3116.93229,0.029,,1428.88343,Typical mineral soil; low lattice and bound water,2875.30133,137.33205,1.17794,1037.166
FINCH,2017-07-28T00:00:00Z,2017-07-29T00:00:00Z,0.279,1.33,0.007,10.495,161.42958,1799.926,2988.95888,0.02,radial and vertical weighted mean from 0-25 cm data,1382.00306,Calcareous mineral soil,2821.75374,137.3136,1.25183,1004.72
FIVET,2018-11-15T00:00:00Z,2018-11-16T00:00:00Z,0.541,0.97,0.014,8.678,164.73004,1441.105,2983.13372,0.039,radial and vertical weighted mean from 0-25 cm data,1310.13006,Typical mineral soil,2547.74,136.59346,1.48337,989.952
GISBN,2014-09-17T00:00:00Z,2014-09-18T00:00:00Z,0.558,0.82,0.021,10.787,153.9125,1220.066,2629.89237,0.061,,1128.15253,Mineral soil with high soil organic carbon most likely from 12omposed forest litter,2054.14075,136.21358,1.35008,982.542
GLENS,2014-07-28T00:00:00Z,2014-07-29T00:00:00Z,0.615,0.44,0.014,10.661,156.18125,1276.171,3045.28653,0.203,,1228.1306,Extremely organic soil with little mineral material i.e. very high soil organic carbon and extremely low bulk density,1873.44615,135.74089,1.53208,970.083
GLENW,2016-10-20T00:00:00Z,2016-10-21T00:00:00Z,0.631,0.54,0.024,7.065,162.96017,1388.219,3246.6727,0.153,radial and vertical weighted mean from 0-25 cm data,1330.69343,Organic soil i.e. very high soil organic carbon and low bulk density,2106.7007,136.20718,1.51004,992.576
HADLW,2016-12-15T00:00:00Z,2016-12-16T00:00:00Z,0.399,1.22,0.028,7.277,164.27725,1562.221,2929.28897,0.031,,1327.89711,Typical mineral soil,2451.27892,137.29587,1.19197,1015.871
HARTW,2014-07-30T00:00:00Z,2014-07-31T00:00:00Z,0.342,1.02,0.033,10.417,156.615,1592.633,3031.67146,0.043,,1336.48475,Typical mineral soil,2410.00647,136.6086,1.29439,988.906
HARWD,2017-06-14T00:00:00Z,2017-06-15T00:00:00Z,0.596,0.33,0.009,10.291,165.47108,959.392,2347.87593,0.304,radial and vertical weighted mean from 0-25 cm data,928.26576,Extremely organic forest soil with little mineral material ,1316.75737,136.02757,0.95947,976.92
HENFS,2016-10-06T00:00:00Z,2016-10-07T00:00:00Z,0.52,0.97,0.022,6.604,163.79688,1497.203,3120.51583,0.077,radial and vertical weighted mean from 0-25 cm data,1363.31997,Mineral soil with very high organic matter,2343.36526,136.11992,1.27221,990.768
HILLB,2016-10-19T00:00:00Z,2016-10-20T00:00:00Z,0.45,1.15,0.021,7.545,162.36558,1564.283,3045.00313,0.042,radial and vertical weighted mean from 0-25 cm data,1367.40116,Typical mineral soil,2513.33185,136.76169,1.14335,1008.136
HLACY,2018-05-03T00:00:00Z,2018-05-04T00:00:00Z,0.293,1.24,0.017,6.555,163.54492,1807.369,3121.17295,0.022,radial and vertical weighted mean from 0-25 cm data,1423.98641,Typical mineral soil,2797.32554,137.08967,1.26859,1010.534
HOLLN,2014-06-25T00:00:00Z,2014-06-26T00:00:00Z,0.379,1.06,0.025,8.279,152.03496,1432.985,2731.52755,0.032,,1214.16356,Typical mineral soil,2297.01296,137.04156,1.29291,1010.146
HYBRY,2018-02-22T00:00:00Z,2018-02-23T00:00:00Z,0.418,0.88,0.006,4.033,165.21488,1555.379,3146.80771,0.066,radial and vertical weighted mean from 0-25 cm data,1363.2283,Highly calcareous mineral soil with high soil organic carbon,2531.05444,136.72682,1.34565,1002.995
LIZRD,2014-11-04T00:00:00Z,2014-11-05T00:00:00Z,0.577,0.95,0.014,7.186,148.76079,1226.087,2586.67159,0.058,,1131.26825,Mineral soil with high soil organic carbon; bulk density is notably lower towards the surface (0-10/15 cm),2083.6895,137.09631,1.16049,985.146
LODTN,2016-09-14T00:00:00Z,2016-09-15T00:00:00Z,0.457,1.16,0.041,14.486,162.89175,1535.737,3011.00585,0.036,radial and vertical weighted mean from 0-25 cm data,1351.24748,Typical mineral soil; lattice and bound water appears somewhat high,2388.5177,136.77311,1.27319,994.722
LULLN,2015-01-14T00:00:00Z,2014-01-15T22:00:00Z,0.463,0.9,0.006,5.482,156.19505,1381.358,2810.00301,0.043,Calibration values calculated with <1 day of data due to rain,1224.11223,Highly calcareous mineral soil (around 66% calcium carbote); lattice and bound water is lower than for a typical mineral soil,2435.45741,136.9778,1.29615,993.068
MOORH,2014-12-11T00:00:00Z,2014-12-12T00:00:00Z,0.587,0.76,0.014,4.287,149.17704,1339.783,2949.35782,0.076,,1253.04925,Mineral soil with very high organic matter i.e. high soil organic carbon and low bulk density,2257.85696,135.46859,1.44511,942.417
MOREM,2019-02-13T00:00:00Z,2019-02-14T00:00:00Z,0.437,1.22,0.026,6.904,165.31296,1561.485,2987.39044,0.035,radial and vertical weighted mean from 0-25 cm data,1352.87773,Typical mineral soil,2480.22564,137.15742,1.15063,1025.035
MORLY,2014-06-19T00:00:00Z,2014-06-21T00:00:00Z,0.165,1.53,0.016,9.178,149.96625,1845.741,2682.83881,0.017,,1268.47115,Typical mineral soil with high bulk density,2463.02478,137.12733,1.20926,1015.417
NWYKE,2014-11-05T00:00:00Z,2014-11-06T00:00:00Z,0.474,1.12,0.02,6.467,148.84913,1356.134,2671.97503,0.037,,1196.40542,Typical mineral soil,2245.2863,136.84169,1.10177,989.146
PLYNL,2014-11-26T00:00:00Z,2014-11-27T00:00:00Z,0.594,0.62,0.02,6.206,155.07783,1290.972,2935.69143,0.098,,1220.38031,Organic soil with some mineral material i.e. high soil organic carbon and low bulk density,2107.90239,135.35095,1.32817,948.583
PORTN,2015-02-02T00:00:00Z,2015-02-03T00:00:00Z,0.396,0.97,0.004,3.624,149.94892,1407.175,2748.83443,0.049,,1207.46798,Highly calcareous mineral soil (around 82% calcium carbote); lattice and bound water is lower than for a typical mineral soil,2344.36345,136.92271,1.17922,992.396
RDMER,2015-06-04T00:00:00Z,2015-06-05T00:00:00Z,0.503,0.6,0.056,7.89,155.18346,1295.861,2966.99217,0.238,,1219.18813,Extremely organic soil perhaps somewhat compacted i.e. very high soil organic carbon and higher than expected but still low bulk density; lattice and bound water appears somewhat high,1689.53954,137.39641,1.31837,1023.917
REDHL,2016-12-08T00:00:00Z,2016-12-09T00:00:00Z,0.25,1.26,0.011,8.958,164.73154,1731.917,2866.03641,0.024,,1311.7088,Slightly calcareous mineral soil (around 7% calcium carbote),2614.14758,137.01909,1.24658,1014.832
RISEH,2017-02-16T00:00:00Z,2017-02-17T00:00:00Z,0.431,1.27,0.022,6.689,165.17329,1589.454,2994.32332,0.032,,1366.82746,Calcareous mineral soil (around 21% calcium carbote),2546.14384,137.16803,1.47313,1019.733
ROTHD,2014-09-02T00:00:00Z,2014-09-03T00:00:00Z,0.28,1.33,0.018,10.082,157.24063,1718.916,2895.92857,0.021,,1335.99421,Typical mineral soil,2592.78752,136.82808,1.1263,1007.271
SHEEP,2014-03-20T00:00:00Z,2014-03-21T00:00:00Z,0.327,1.06,0.027,7.351,154.63258,917.786,1730.84117,0.061,,766.06234,Mineral soil with fairly high soil organic carbon; slightly calcareous,1333.25436,136.61673,1.06304,986.042
SOURH,2014-12-09T00:00:00Z,2014-12-10T00:00:00Z,0.591,0.65,0.021,6.181,148.74204,1249.64,2815.70616,0.086,,1177.34141,Mineral soil with very high organic matter i.e. high soil organic carbon and low bulk density,2073.01434,136.03334,1.43584,967.147
SPENF,2017-06-15T00:00:00Z,2017-06-16T00:00:00Z,0.271,1.41,0.011,9.368,165.6,1929.165,3152.59037,0.019,radial and vertical weighted mean from 0-25 cm data,1471.04547,Calcareous mineral soil (around 22% calcium carbote) with high bulk density,2932.17175,137.1736,1.5181,1005.654
STGHT,2015-11-19T00:00:00Z,2015-11-20T00:00:00Z,0.347,1.33,0.018,6.973,155.15017,1604.487,2842.79111,0.027,,1309.92,Typical mineral soil,2493.97932,136.80478,1.2568,994.333
STIPS,2014-11-27T00:00:00Z,2014-11-28T00:00:00Z,0.624,0.62,0.016,6.521,154.72942,1294.43,2959.36135,0.104,,1230.98812,Organic soil with some mineral material i.e. high soil organic carbon and low bulk density,2119.14099,135.69684,1.32464,951.979
SYDLG,2019-03-21T00:00:00Z,2019-03-22T00:00:00Z,0.381,1.17,0.02,8.294,165.459,1704.887,3189.94956,0.035,radial and vertical weighted mean from 0-25 cm data,1437.34851,Typical mineral soil,2700.7401,136.44227,1.09742,1003.387
TADHM,2014-11-06T00:00:00Z,2014-11-07T00:00:00Z,0.617,0.32,0.029,8.107,148.385,1129.819,2781.42402,0.314,,1098.06852,Extremely organic soil with little mineral material i.e. very high soil organic carbon and extremely low bulk density,1524.77086,137.40372,1.22135,1002.583
WADDN,2014-03-13T00:00:00Z,2014-03-15T00:00:00Z,0.464,1.14,0.022,6.581,154.49135,813.333,1588.62009,0.033,,713.49065,Typical mineral soil,1348.98236,137.00073,1.15034,1017.854
WIMPL,2019-10-15T00:00:00Z,2019-10-16T00:00:00Z,0.362,1.22,0.015,8.959,164.63229,1581.416,2891.38385,0.035,radial and vertical weighted mean from 0-25 cm data,1312.56276,Typical mineral soil,2492.33202,137.25187,1.15173,1000.365
WRTTL,2017-07-27T00:00:00Z,2017-07-28T00:00:00Z,0.354,1.26,0.019,10.608,161.28221,1646.288,2982.87161,0.035,radial and vertical weighted mean from 0-25 cm data,1360.4804,Typical mineral soil,2539.26881,137.23909,1.18935,1001.915
WYTH1,2014-04-15T00:00:00Z,2014-04-16T00:00:00Z,0.494,1.08,0.015,5.194,155.58038,678.183,1350.47983,0.032,,602.55688,Typical mineral soil,1173.95669,136.80305,1.2,1013.188
