TIMESERIES_DEF,TIMESERIES_NAME,PARAMETER_ID,PROCESS_LEVEL,RESOLUTION,PERIODICITY,UNIT_ID,STATISTIC_ID,NETWORK_ID
ALBEDO_1MIN_RAW,Albedo value,ALBEDO,RAW,PT1M,PT1M,UNITLESS,INST,FDRI
BATTSOC_1MIN_RAW,Battery state of charge,SOC_BATT,RAW,PT1M,PT1M,PCT,INST,FDRI
BATTV_1MIN_RAW,Datalogger battery voltage,VOLTAGE_BATT,RAW,PT1M,PT1M,V,INST,FDRI
DEWPOINT_1MIN_RAW,Dew Point temperature,DEW_POINT,RAW,PT1M,PT1M,DEGC,INST,FDRI
DISCHARGE_1MIN_RAW,Water discharge,DISCHARGE,RAW,PT1M,PT1M,M3S-1,INST,FDRI
DIST_TO_WATER_RADAR_1MIN_RAW,Distance to water (radar),WATER_LEVEL,RAW,PT1M,PT1M,M,INST,FDRI
DLOSS_1MIN_RAW,Soil dielectric loss tangent,DLOSS,RAW,PT1M,PT1M,UNITLESS,INST,FDRI
HAIL_1MIN_RAW,Hail amount,PRECIPITATION,RAW,PT1M,PT1M,MM,INST,FDRI
HAIL_INT_1MIN_RAW,Hail intensity,PRECIPITATION_INTEN,RAW,PT1M,PT1M,MM,INST,FDRI
IMAG_DIEL_1MIN_RAW,Soil imaginary dielectric permittivity,IMAG_DIEL_PERM,RAW,PT1M,PT1M,UNITLESS,INST,FDRI
LOGGER_TEMP_1MIN_RAW,Temperature at the logger,TEMP_LOGGER,RAW,PT1M,PT1M,DEGC,INST,FDRI
LWIN_1MIN_RAW,Longwave radiation incoming,LWIN,RAW,PT1M,PT1M,WM-2,INST,FDRI
LWOUT_1MIN_RAW,Longwave radiation outgoing,LWOUT,RAW,PT1M,PT1M,WM-2,INST,FDRI
PA_1MIN_RAW,Atmospheric pressure,PA,RAW,PT1M,PT1M,HPA,INST,FDRI
PRECIP_INT_1MIN_RAW,Precipitation intensity,PRECIPITATION_INTEN,RAW,PT1M,PT1M,MM,TOTAL_PREC,FDRI
PRECIP_TOT_1MIN_RAW,Total precipitation amount,PRECIPITATION,RAW,PT1M,PT1M,MM,TOTAL_PREC,FDRI
PWEC_1MIN_RAW,Soil pore water EC,COND,RAW,PT1M,PT1M,SM-1,INST,FDRI
