TIMESERIES_ID,SENSOR_SLOT_ID,SITE_ID,S3_BUCKET,S3_DATASET,COLUMN_NAME,TIME_COLUMN_NAME,MEASURE_ID,PROCESS_LEVEL
COSMOS-ALIC1-P_INTENSITY_RT_1MIN_RAW,PLUVIO,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_PRECIP_1MIN,P_INTENSITY_RT,time,PRECIP_INTEN_PLUVIO-MEAN_PREC-MM_M-1-PT1M-PT1M,RAW
COSMOS-ALIC1-P_ACCUMULATED_RT_NRT_1MIN_RAW,PLUVIO,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_PRECIP_1MIN,P_ACCUMULATED_RT_NRT,time,PRECIP_PLUVIO-TOTAL_PREC-MM-PT1M-PT1M,RAW
COSMOS-ALIC1-PRECIP_1MIN_RAW,PLUVIO,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_PRECIP_1MIN,P_ACCUMULATED_NRT,time,PRECIP_PLUVIO-TOTAL_PREC-MM-PT1M-PT1M,RAW
COSMOS-ALIC1-P_ACCUMULATEDAL_NRT_1MIN_RAW,PLUVIO,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_PRECIP_1MIN,P_ACCUMULATEDAL_NRT,time,PRECIP_PLUVIO-TOTAL_PREC-MM-PT1M-PT1M,RAW
COSMOS-ALIC1-BUCKET_LEVEL_1MIN_RAW,PLUVIO,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_PRECIP_1MIN,P_BUCKET_LEVEL_RT,time,BUCKET_LEVEL_RT-INST-MM-PT1M-PT1M,RAW
COSMOS-ALIC1-P_BUCKET_NRT_1MIN_RAW,PLUVIO,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_PRECIP_1MIN,P_BUCKET_NRT,time,BUCKET_LEVEL_NRT-INST-MM-PT1M-PT1M,RAW
COSMOS-ALIC1-P_LOADCELL_TEMP_1MIN_RAW,PLUVIO,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_PRECIP_1MIN,P_LOADCELL_TEMP,time,TEMP_LOADCELL-INST-MM-PT1M-PT1M,RAW
COSMOS-ALIC1-P_HEATING_STATUS_1MIN_RAW,PLUVIO,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_PRECIP_1MIN,P_HEATING_STATUS,time,STATUS_P_HEATING-INST-MM-PT1M-PT1M,RAW
COSMOS-ALIC1-P_STATUS_1MIN_RAW,PLUVIO,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_PRECIP_1MIN,P_STATUS,time,STATUS_PLUVIO-INST-MM-PT1M-PT1M,RAW
COSMOS-ALIC1-PRECIP_30MIN_RAW,PLUVIO,ALIC1,,,PRECIP,time,PRECIP_PLUVIO-TOTAL_PREC-MM-PT30M-PT30M,RAW
COSMOS-ALIC1-SWIN_MULT_30MIN_RAW,,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,SWIN_MULT,time,SWIN_MULT-INST-UNITLESS-PT30M-PT30M,RAW
COSMOS-ALIC1-SWOUT_MULT_30MIN_RAW,,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,SWOUT_MULT,time,SWOUT_MULT-INST-UNITLESS-PT30M-PT30M,RAW
COSMOS-ALIC1-LWIN_MULT_30MIN_RAW,,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,LWIN_MULT,time,LWIN_MULT-INST-UNITLESS-PT30M-PT30M,RAW
COSMOS-ALIC1-LWOUT_MULT_30MIN_RAW,,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,LWOUT_MULT,time,LWOUT_MULT-INST-UNITLESS-PT30M-PT30M,RAW
COSMOS-ALIC1-TBR_TIP_30MIN_RAW,,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,TBR_TIP,time,TBR_TIP-INST-MM-PT30M-PT30M,RAW
COSMOS-ALIC1-CTS_MOD_PERIOD_30MIN_RAW,CRNS,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,CTS_MOD_PERIOD,time,MEASURE_PERIOD-TOTAL_PREC-SEC-PT30M-PT30M,RAW
COSMOS-ALIC1-WM_NAN_COUNT_30MIN_RAW,AWqS_ANEM,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,WM_NAN_COUNT,time,COUNT-TOTAL_PREC-UNITLESS-PT30M-PT30M,RAW
COSMOS-ALIC1-RH_INTERNAL_30MIN_RAW,AWS,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,RH_INTERNAL,time,RH-MEAN_PREC-PCT-PT30M-PT30M,RAW
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,AWS_ANEM,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,COV_TS_UZ,time,WS-INST-MS-1-PT30M-PT30M,RAW
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,AWS_ANEM,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,RHO_A_MEAN,time,AIR_DENSITY-INST-KGM-3-PT30M-PT30M,RAW
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,AWS_ANEM,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,E_SAT_MEAN,time,VAPOUR_P-INST-KPA-PT30M-PT30M,RAW
COSMOS-ALIC1-METPAK_SAMPLES_30MIN_RAW,AWS,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,METPAK_SAMPLES,time,SCANS_METPAK-TOTAL_PREC-SAMPLES-PT30M-PT30M,RAW
COSMOS-ALIC1-CTS_MOD_RH_30MIN_RAW,CRNS,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,CTS_MOD_RH,time,RH-INST-PCT-PT30M-PT30M,RAW
COSMOS-ALIC1-CTS_MOD_TEMP_30MIN_RAW,CRNS,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,CTS_MOD_TEMP,time,TEMP_CRNS-INST-DEGC-PT30M-PT30M,RAW
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,TDT1,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,TDT1_VWC,time,VWC_SOIL_10_TDT-INST-PCT-PT30M-PT30M,RAW
COSMOS-ALIC1-TDT1_TSOIL_30MIN_RAW,TDT1,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,TDT1_TSOIL,time,TEMP_SOIL_10_TDT-INST-DEGC-PT30M-PT30M,RAW
COSMOS-ALIC1-TDT1_SOILPERM_30MIN_RAW,TDT1,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,TDT1_SOILPERM,time,PERM_10_TDT-INST-UNITLESS-PT30M-PT30M,RAW
COSMOS-ALIC1-TDT1_SOILEC_30MIN_RAW,TDT1,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,TDT1_SOILEC,time,COND_10_TDT-INST-DSM-1-PT30M-PT30M,RAW
COSMOS-ALIC1-TDT2_VWC_30MIN_RAW,TDT2,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,TDT2_VWC,time,VWC_SOIL_10_TDT-INST-PCT-PT30M-PT30M,RAW
COSMOS-ALIC1-TDT2_TSOIL_30MIN_RAW,TDT2,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,TDT2_TSOIL,time,TEMP_SOIL_10_TDT-INST-DEGC-PT30M-PT30M,RAW
COSMOS-ALIC1-TDT2_SOILPERM_30MIN_RAW,TDT2,ALIC1,ukceh-fdri-staging-timeseries-level-0,LIVE_SOILMET_30MIN,TDT2_SOILPERM,time,PERM_10_TDT-INST-UNITLESS-PT30M-PT30M,RAW
