TIMESERIES_ID,SENSOR_SLOT_ID,SITE_ID,S3_BUCKET,S3_DATASET,COLUMN_NAME,TIME_COLUMN_NAME,MEASURE_ID,PROCESS_LEVEL,FLAG_DEF
FDRI-SE-CARWE-01-BATTV_1MIN_RAW,LOGGER,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,BattV_Avg,time,VOLTAGE_BATT-MEAN_PREC-V-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-BATTSOC_1MIN_RAW,LOGGER,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,BattSoC_Avg,time,SOC_BATT-MEAN_PREC-PCT-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-RH_1MIN_RAW,HMP,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,RH,time,RH-MEAN_PREC-PCT-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-WD_1MIN_RAW,AWS_ANEM,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,WindDir,time,WD-MEAN_PREC-DEG-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-WS_1MIN_RAW,AWS_ANEM,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,WS_ms_Avg,time,WS-MEAN_PREC-MS-1-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-RAINE_INT_1MIN_RAW,RAINE,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,RainE_Int_1m,time,PRECIP_INTEN-MEAN_PREC-MM_M-1-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-RAINE_INT_HR_1MIN_RAW,RAINE,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,RainE_Int_1m_hr,time,PRECIP_INTEN-MEAN_PREC-MM_HR-1-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-RAINE_INT_LR_1MIN_RAW,RAINE,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,RainE_Int_lr,time,PRECIP_INTEN_LR-MEAN_PREC-MM_M-1-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-RAINE_INT_LR_HR_1MIN_RAW,RAINE,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,RainE_Int_lr_hr,time,PRECIP_INTEN_LR-MEAN_PREC-MM_HR-1-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-RAINE_PRECIP_1MIN_RAW,RAINE,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,RainE_Precip_lr,time,PRECIP-TOTAL_PREC-MM-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-RAINE_PRECIP_TOT_1MIN_RAW,RAINE,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,RainE_Precip_Tot,time,PRECIP_TOT-TOTAL_PREC-MM-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-PA_1MIN_RAW,NA,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,Pressure_Avg,time,PA-MEAN_PREC-HPA-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-ALBEDO_1MIN_RAW,NA,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,albedo_Avg,time,ALBEDO-MEAN_PREC-UNITLESS-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-SWIN_1MIN_RAW,NA,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,R_SW_in_Avg,time,SWIN-MEAN_PREC-WM-2-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-SWOUT_1MIN_RAW,NA,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,R_SW_out_Avg,time,SWOUT-MEAN_PREC-WM-2-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-LWIN_1MIN_RAW,NA,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,R_LW_in_Avg,time,LWIN-MEAN_PREC-WM-2-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-LWOUT_1MIN_RAW,NA,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,R_LW_out_Avg,time,LWOUT-MEAN_PREC-WM-2-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-RN_1MIN_RAW,NA,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,T_nr_Avg,time,RN-MEAN_PREC-WM-2-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-TA_1MIN_RAW,NA,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,AirTemp_C,time,TEMP_AIR-MEAN_PREC-DEGC-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-DEWPOINT_1MIN_RAW,NA,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,DewPoint_C,time,DEW_POINT-INST-DEGC-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-TS100_FAN_RPM_1MIN_RAW,NA,SE-CARWE-01,ukceh-dri-staging-ingested,one_minute,TS100SS_Fan_RPM,time,REVOLUTIONS-MEAN_PREC-RPM-PT1M-PT1M,RAW,
FDRI-SE-CARWE-01-TA_1MIN_PROCESSED,NA,SE-CARWE-01,ukceh-fdri-staging-timeseries-processed,one_minute,AirTemp_C,time,TEMP_AIR-MEAN_PREC-DEGC-PT1M-PT1M,PROCESSED,
