dataset,site,start_time,end_time
LIVE_SOILMET_30MIN,WIMPL,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,TEST1,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,TADHM,2025-01-27 19:00:00,2025-10-21 09:00:00
LIVE_SOILMET_30MIN,STIPS,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,SYDLG,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,STGHT,2025-01-27 19:00:00,2025-11-26 12:00:00
LIVE_SOILMET_30MIN,SPENF,2025-01-27 19:00:00,2026-03-02 18:00:00
LIVE_SOILMET_30MIN,RISEH,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,REDHL,2025-01-27 19:00:00,2026-01-30 10:00:00
LIVE_SOILMET_30MIN,PORTN,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,NWYKE,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,MORLY,2025-01-26 10:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,LULLN,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,LIZRD,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,HENFS,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,HARTW,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,HADLW,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,GLENW,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,HILLB,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,GLENS,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,GISBN,2025-01-27 19:00:00,2026-03-02 20:00:00
LIVE_SOILMET_30MIN,FINCH,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,PLYNL,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,EUSTN,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,ELMST,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,COCLP,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,CARDT,2025-01-27 19:00:00,2025-02-11 11:00:00
LIVE_SOILMET_30MIN,BUNNY,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_SOILMET_30MIN,BALRD,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_RAINE_1MIN,WADDN,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,TEST1,2025-09-28 00:01:00,2026-03-03 08:04:00
LIVE_PRECIP_RAINE_1MIN,TADHM,2025-01-27 21:48:00,2025-10-21 09:03:00
LIVE_PRECIP_RAINE_1MIN,SYDLG,2025-01-27 21:48:00,2026-03-03 08:04:00
LIVE_PRECIP_RAINE_1MIN,STIPS,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,SPENF,2025-01-27 21:48:00,2026-03-02 18:03:00
LIVE_PRECIP_1MIN,ELMST,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_SOILMET_30MIN,HOLLN,2025-01-27 19:00:00,2026-03-03 08:00:00
COSMOS_STATUS_1HOUR_2024_LOOPED,LIZRD,2023-10-02 11:02:25.63,2024-08-17 07:05:25.61
LIVE_PRECIP_1MIN,EASTB,2025-01-27 19:41:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,HYBRY,2024-01-01 00:03:23.08,2024-08-11 20:02:25.13
COSMOS_STATUS_1HOUR_2024_LOOPED,BALRD,2024-04-04 00:02:26.11,2024-08-09 09:03:22.24
LIVE_PRECIP_1MIN,CHIMN,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_SOILMET_30MIN,BICKL,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_1MIN,BALRD,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_SOILMET_30MIN,CGARW,2025-01-27 19:00:00,2026-03-02 16:00:00
LIVE_PRECIP_1MIN,LODTN,2025-01-27 19:41:00,2026-03-03 08:04:00
LIVE_PRECIP_RAINE_1MIN,STGHT,2025-01-27 21:48:00,2025-11-26 12:03:00
LIVE_PRECIP_RAINE_1MIN,LULLN,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,BICKL,2025-01-27 19:41:00,2026-03-03 08:02:00
LIVE_PRECIP_1MIN,ALIC1,2025-01-27 19:41:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,HOLLN,2024-01-01 00:02:26.12,2024-08-21 21:02:25.31
COSMOS_STATUS_1HOUR_2024_LOOPED,WIMPL,2024-01-01 00:02:26.03,2024-08-19 17:02:26.31
COSMOS_STATUS_1HOUR_2024_LOOPED,SYDLG,2023-10-02 11:03:26.69,2024-08-09 11:02:30.18
LIVE_PRECIP_RAINE_1MIN,EUSTN,2025-01-27 21:48:00,2026-03-03 08:04:00
COSMOS_STATUS_1HOUR_2024_LOOPED,STIPS,2024-01-01 01:02:29.83,2024-08-09 09:03:21.96
LIVE_PRECIP_RAINE_1MIN,PLYNL,2025-01-27 21:48:00,2026-03-03 08:04:00
COSMOS_STATUS_1HOUR_2024_LOOPED,STGHT,2024-01-01 09:03:27.93,2024-08-09 08:04:21.64
COSMOS_STATUS_1HOUR_2024_LOOPED,MORLY,2024-01-01 00:02:26.22,2024-08-09 05:03:22.18
LIVE_PRECIP_1MIN,SOURH,2025-01-29 01:35:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,SPENF,2025-01-27 19:41:00,2026-03-02 18:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,PORTN,2024-01-01 00:02:25.89,2024-08-09 10:02:25.89
COSMOS_STATUS_1HOUR_2024_LOOPED,REDHL,2024-04-04 00:02:25.77,2024-09-15 23:02:25.36
COSMOS_STATUS_1HOUR_2024_LOOPED,NWYKE,2024-01-01 00:02:26.29,2024-08-09 06:02:25.99
COSMOS_STATUS_1HOUR_2024_LOOPED,ALIC1,2024-01-01 00:00:01.26,2024-10-01 10:03:23.36
LIVE_PRECIP_RAINE_1MIN,FINCH,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_SOILMET_30MIN,SOURH,2025-01-28 23:30:00,2026-03-03 08:00:00
COSMOS_STATUS_1HOUR_2024_LOOPED,COCLP,2024-01-01 00:02:32.59,2024-07-31 17:02:26.64
LIVE_SOILMET_30MIN,HLACY,2025-01-27 19:00:00,2026-03-03 08:00:00
COSMOS_STATUS_1HOUR_2024_LOOPED,CHIMN,2024-04-04 00:02:27.44,2024-07-29 13:02:26.38
LIVE_PRECIP_RAINE_1MIN,LIZRD,2025-01-27 21:48:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,ELMST,2024-01-01 00:02:25.79,2024-08-09 09:02:25.67
COSMOS_STATUS_1HOUR_2024_LOOPED,BUNNY,2024-01-01 00:03:23.02,2024-08-09 00:04:21.76
COSMOS_STATUS_1HOUR_2024_LOOPED,GISBN,2024-04-04 00:02:23.26,2024-10-06 20:02:23.28
LIVE_PRECIP_1MIN,WIMPL,2025-01-29 01:36:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,BICKL,2023-10-02 11:02:26.17,2024-08-09 21:03:23.07
COSMOS_STATUS_1HOUR_2024_LOOPED,EUSTN,2024-01-01 00:02:26.24,2024-08-09 05:04:22.23
LIVE_PRECIP_1MIN,EUSTN,2025-01-27 19:41:00,2026-03-03 08:04:00
COSMOS_STATUS_1HOUR_2024_LOOPED,FINCH,2024-01-01 00:03:23.03,2024-08-09 07:03:21.76
LIVE_SOILMET_30MIN,MOREM,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_1MIN,CGARW,2025-01-27 19:41:00,2026-03-02 16:03:00
LIVE_SOILMET_30MIN,CHIMN,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_RAINE_1MIN,SOURH,2025-01-29 00:55:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,RISEH,2024-01-01 00:03:25.46,2024-08-23 11:09:22.22
LIVE_PRECIP_RAINE_1MIN,CHOBH,2025-01-27 21:48:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,HENFS,2024-01-01 11:02:23.17,2024-09-19 04:14:22.52
LIVE_SOILMET_30MIN,ALIC1,2025-01-27 22:00:00,2026-03-03 08:00:00
