Site Name,lat,lon,geometry
CROXLEY HALL FARM,51.639119039779224,-0.453883179580779,\x01\x01\x00\x00\x00\x91@ \x09l\x0C\xDD\xBF%\x0D\x17\xA7\xCE\xD1I@
CHESMAN CENTRE QUEENS HEAD PEDNOR,51.70317424020799,-0.6150860336291429,\x01\x01\x00\x00\x00\x99;\xD5\xE7\xC8\xAE\xE3\xBF\x9F\x8A\x0E\x9D\x01\xDAI@
BLACKWELL HALL,51.6865807607447,-0.5808732928842347,\x01\x01\x00\x00\x00\x01\xD8\x81\x96\x83\x96\xE2\xBF\x0B\xBB\xDC\xE0\xE1\xD7I@
RICKMANSWORTH G.S. SIDE CHANNEL,51.641009620585265,-0.4609003564678123,\x01\x01\x00\x00\x00\xA1\x9Do5d\x7F\xDD\xBF\xE4jn\x9A\x0C\xD2I@
SARRATT MILL,51.66943290964711,-0.5033202681470628,\x01\x01\x00\x00\x00\xF4`c\x1B3\x1B\xE0\xBFu\xE6B\xFA\xAF\xD5I@
UPSTREAM SEWAGE WORKS,51.69026325658728,-0.5879918855936391,\x01\x01\x00\x00\x00\x89\x04\xDE[\xD4\xD0\xE2\xBF\x1FV\xE0\x8BZ\xD8I@
CHESHAM STW,51.68659822020508,-0.5823193792877921,\x01\x01\x00\x00\x00^\xC7;@\x5C\xA2\xE2\xBF\xE5\xA2Rs\xE2\xD7I@
WATER MEADOW,51.70263833864186,-0.6153918225829537,\x01\x01\x00\x00\x00!\x07\x071J\xB1\xE3\xBF\xF8\xB0\x96\x0D\xF0\xD9I@
MOOR ROAD,51.69978528256481,-0.6098354105663529,\x01\x01\x00\x00\x001h\x0A\x8D\xC5\x83\xE3\xBFCkk\x90\x92\xD9I@
CHESHAM WEIR SIDE CHANNEL,51.69380701422905,-0.5985883827709073,\x01\x01\x00\x00\x00\xCC\x87\xF8\xD2\xA2\x27\xE3\xBF\xB2\xEC\x11\xAB\xCE\xD8I@
CHESHAM WEIR,51.693986783699316,-0.5985828307353389,\x01\x01\x00\x00\x00\x82\x92>.\x97\x27\xE3\xBF\x22\xEC\x15\x8F\xD4\xD8I@
LATIMER,51.677185988072104,-0.5479012560647615,\x01\x01\x00\x00\x00\xFD\x88\x077h\x88\xE1\xBF!\x0A\xCC\x07\xAE\xD6I@
VALLEY FARM FORD,51.680125080215085,-0.5168535788419326,\x01\x01\x00\x00\x00\x06K>\x84\x10\x8A\xE0\xBFI[\xB0V\x0E\xD7I@
SOLESBRIDGE MILL,51.66048408112694,-0.4926269331698289,\x01\x01\x00\x00\x00\xDF\xF6\xC5\x1D3\x87\xDF\xBF\x02\xFC\x0B\xBE\x8A\xD4I@
RICKMANSWORTH,51.64199442403009,-0.461257226107348,"\x01\x01\x00\x00\x00\xE4.K\x07=\x85\xDD\xBF8\xB6\x8F\xDF,\xD2I@"
