SiteID,SiteName,lat,lon,geometry,survey_dates,oldest_survey,newest_survey,catchment,Sensor
CBKHS,CH_CBKHS_01_GAUGING,51.658,-0.488,POINT (-0.488 51.658),['20241210'],20241210,20241210,39088,Sontek - ADCP
CPUMP,CH_CPUMP_01_GAUGING,51.669,-0.503,POINT (-0.503 51.669),"['20241211', '20250130']",20241211,20250130,39088,Sontek - ADCP
LATBR,Latimer bridge,51.677,-0.549,POINT (-0.549 51.677),"['20241127', '20250130']",20241127,20250130,39088,Sontek - ADCP
RHCXX,RestoreHope_Clean,51.681,-0.566,POINT (-0.566 51.681),['20241127'],20241127,20241127,39088,Sontek - ADCP
RHDXX,RestoreHope_Dirty,51.678,-0.563,POINT (-0.563 51.678),['20241127'],20241127,20241127,39088,Sontek - ADCP
SBPXX,Scottsbridge playing fields,51.651,-0.467,POINT (-0.467 51.651),['20241212'],20241212,20241212,39088,Sontek - ADCP
SOLBR,CH_SOLBR_GAUGING_01,51.663,-0.494,POINT (-0.494 51.663),"['20250130', '20241210']",20241210,20250130,39088,Sontek - ADCP
WCFXX,Watercress ford,51.68,-0.517,POINT (-0.517 51.68),['20241213'],20241213,20241213,39088,Sontek - ADCP
GAHBX,GAMESH_B,55.468144,-3.3715036,POINT (-3.372 55.468),['20250522'],20250522,20250522,21014,OTT MF Pro
MENZX,MENZ,55.481804,-3.4317931,POINT (-3.431 44.482),['20250522'],20250522,20250522,21014,OTT MF Pro
TALXX,TALLA,55.466513,-3.357369,POINT (-3.357 55.467),['20250522'],20250522,20250522,21014,OTT MF Pro
